Product Type,Manufacturer name,Manufacturer shipping cost,Manufacturer shipping time,Manufacturer transport mode,Manufacturer routes ,Manufacturer destinations,Product ID,Manufacturer cost,Manufacturer defect rates
Tablet,Manufacturer 1,6.85,3,sea,Route 14,Distributor 2,65046f7afc13ae03cdfd5cd8,160,0.1
Phone,Manufacturer 1,8.05,3,rail,Route 12,Distributor 1,65046f7afc13ae03cdfd5cd9,100,0.6
Laptop,Manufacturer 2,6.7,10,road,Route 12,Distributor 3,65046f7afc13ae03cdfd5cda,400,0.1
Tablet,Manufacturer 1,8.41,2,air,Route 12,Distributor 2,65046f7afc13ae03cdfd5cdb,160,0.1
Phone,Manufacturer 3,8.82,4,sea,Route 13,Distributor 1,65046f7afc13ae03cdfd5cdc,133,0.4
Laptop,Manufacturer 1,7.32,2,rail,Route 15,Distributor 4,65046f7afc13ae03cdfd5cdd,470,0.8
Tablet,Manufacturer 1,7.52,4,road,Route 15,Distributor 2,65046f7afc13ae03cdfd5cde,160,0.1
Phone,Manufacturer 1,8.5,7,air,Route 13,Distributor 3,65046f7afc13ae03cdfd5cdf,100,0.6
Laptop,Manufacturer 2,9.7,10,air,Route 12,Distributor 2,65046f7afc13ae03cdfd5ce0,400,0.1
Tablet,Manufacturer 3,8.86,7,road,Route 11,Distributor 2,65046f7afc13ae03cdfd5ce1,165,0.5
Phone,Manufacturer 3,3.8,2,road,Route 12,Distributor 4,65046f7afc13ae03cdfd5ce2,133,0.4
Laptop,Manufacturer 2,6.43,5,sea,Route 16,Distributor 2,65046f7afc13ae03cdfd5ce3,400,0.1
Tablet,Manufacturer 3,6.97,12,rail,Route 12,Distributor 2,65046f7afc13ae03cdfd5ce4,165,0.5
Phone,Manufacturer 3,9.21,5,rail,Route 11,Distributor 3,65046f7afc13ae03cdfd5ce5,133,0.4
Laptop,Manufacturer 3,3.36,5,sea,Route 16,Distributor 4,65046f7afc13ae03cdfd5ce6,480,0.4
Tablet,Manufacturer 2,7.82,6,air,Route 12,Distributor 3,65046f7afc13ae03cdfd5ce7,170,1.0
Phone,Manufacturer 2,3.57,9,rail,Route 11,Distributor 2,65046f7afc13ae03cdfd5ce8,120,0.3
Laptop,Manufacturer 3,8.42,4,road,Route 15,Distributor 3,65046f7afc13ae03cdfd5ce9,480,0.4
Tablet,Manufacturer 3,4.11,6,rail,Route 11,Distributor 4,65046f7afc13ae03cdfd5cea,165,0.5
Phone,Manufacturer 3,7.93,5,air,Route 16,Distributor 2,65046f7afc13ae03cdfd5ceb,133,0.4
Laptop,Manufacturer 1,7.03,12,road,Route 11,Distributor 2,65046f7afc13ae03cdfd5cec,470,0.8
Tablet,Manufacturer 2,7.3,3,sea,Route 13,Distributor 4,65046f7afc13ae03cdfd5ced,170,1.0
Phone,Manufacturer 1,5.53,3,air,Route 16,Distributor 2,65046f7afc13ae03cdfd5cee,100,0.6
Laptop,Manufacturer 3,7.15,3,road,Route 15,Distributor 1,65046f7afc13ae03cdfd5cef,480,0.4
Tablet,Manufacturer 1,7.88,3,rail,Route 11,Distributor 1,65046f7afc13ae03cdfd5cf0,160,0.1
Phone,Manufacturer 3,5.43,12,rail,Route 15,Distributor 1,65046f7afc13ae03cdfd5cf1,133,0.4
Laptop,Manufacturer 2,4.74,4,road,Route 11,Distributor 2,65046f7afc13ae03cdfd5cf2,400,0.1
Tablet,Manufacturer 1,4.98,11,road,Route 12,Distributor 4,65046f7afc13ae03cdfd5cf3,160,0.1
Phone,Manufacturer 3,7.64,5,sea,Route 16,Distributor 2,65046f7afc13ae03cdfd5cf4,133,0.4
Laptop,Manufacturer 2,7.04,12,rail,Route 11,Distributor 1,65046f7afc13ae03cdfd5cf5,400,0.1
Tablet,Manufacturer 3,3.43,7,rail,Route 12,Distributor 1,65046f7afc13ae03cdfd5cf6,165,0.5
Phone,Manufacturer 1,4.61,12,sea,Route 13,Distributor 3,65046f7afc13ae03cdfd5cf7,100,0.6
Laptop,Manufacturer 2,9.41,1,air,Route 13,Distributor 2,65046f7afc13ae03cdfd5cf8,400,0.1
Tablet,Manufacturer 2,7.44,2,sea,Route 14,Distributor 1,65046f7afc13ae03cdfd5cf9,170,1.0
Phone,Manufacturer 3,9.34,5,air,Route 12,Distributor 1,65046f7afc13ae03cdfd5cfa,133,0.4
Laptop,Manufacturer 2,8.74,8,sea,Route 16,Distributor 3,65046f7afc13ae03cdfd5cfb,400,0.1
Tablet,Manufacturer 3,9.4,4,road,Route 11,Distributor 1,65046f7afc13ae03cdfd5cfc,165,0.5
Phone,Manufacturer 3,9.68,5,air,Route 11,Distributor 4,65046f7afc13ae03cdfd5cfd,133,0.4
Laptop,Manufacturer 3,7.05,3,road,Route 15,Distributor 2,65046f7afc13ae03cdfd5cfe,480,0.4
Tablet,Manufacturer 1,7.18,10,rail,Route 15,Distributor 3,65046f7afc13ae03cdfd5cff,160,0.1
Phone,Manufacturer 2,3.99,6,sea,Route 16,Distributor 4,65046f7afc13ae03cdfd5d00,120,0.3
Laptop,Manufacturer 2,8.04,8,air,Route 12,Distributor 2,65046f7afc13ae03cdfd5d01,400,0.1
Tablet,Manufacturer 1,6.02,10,sea,Route 13,Distributor 2,65046f7afc13ae03cdfd5d02,160,0.1
Phone,Manufacturer 2,4.36,3,road,Route 12,Distributor 2,65046f7afc13ae03cdfd5d03,120,0.3
Laptop,Manufacturer 1,7.32,6,sea,Route 16,Distributor 3,65046f7afc13ae03cdfd5d04,470,0.8
Tablet,Manufacturer 1,6.05,6,air,Route 13,Distributor 1,65046f7afc13ae03cdfd5d05,160,0.1
Phone,Manufacturer 1,6.97,5,sea,Route 13,Distributor 4,65046f7afc13ae03cdfd5d06,100,0.6
Laptop,Manufacturer 3,5.99,2,rail,Route 11,Distributor 2,65046f7afc13ae03cdfd5d07,480,0.4
Tablet,Manufacturer 3,3.21,2,rail,Route 12,Distributor 2,65046f7afc13ae03cdfd5d08,165,0.5
Phone,Manufacturer 1,6.95,8,rail,Route 15,Distributor 1,65046f7afc13ae03cdfd5d09,100,0.6
Laptop,Manufacturer 1,6.83,12,sea,Route 16,Distributor 2,65046f7afc13ae03cdfd5d0a,470,0.8
Tablet,Manufacturer 2,5.46,3,air,Route 13,Distributor 3,65046f7afc13ae03cdfd5d0b,170,1.0
Phone,Manufacturer 1,9.81,12,rail,Route 15,Distributor 2,65046f7afc13ae03cdfd5d0c,100,0.6
Laptop,Manufacturer 2,7.52,6,road,Route 15,Distributor 3,65046f7afc13ae03cdfd5d0d,400,0.1
Tablet,Manufacturer 1,8.3,11,rail,Route 12,Distributor 3,65046f7afc13ae03cdfd5d0e,160,0.1
Phone,Manufacturer 1,6.61,3,air,Route 12,Distributor 4,65046f7afc13ae03cdfd5d0f,100,0.6
Laptop,Manufacturer 3,3.74,9,air,Route 13,Distributor 3,65046f7afc13ae03cdfd5d10,480,0.4
Tablet,Manufacturer 2,8.81,12,rail,Route 11,Distributor 1,65046f7afc13ae03cdfd5d11,170,1.0
Phone,Manufacturer 1,5.65,5,air,Route 13,Distributor 1,65046f7afc13ae03cdfd5d12,100,0.6
Laptop,Manufacturer 2,7.39,7,air,Route 12,Distributor 3,65046f7afc13ae03cdfd5d13,400,0.1
Tablet,Manufacturer 1,9.63,8,road,Route 11,Distributor 3,65046f7afc13ae03cdfd5d14,160,0.1
Phone,Manufacturer 1,9.07,2,road,Route 11,Distributor 1,65046f7afc13ae03cdfd5d15,100,0.6
Laptop,Manufacturer 3,3.13,8,air,Route 12,Distributor 1,65046f7afc13ae03cdfd5d16,480,0.4
Tablet,Manufacturer 2,6.58,7,sea,Route 16,Distributor 2,65046f7afc13ae03cdfd5d17,170,1.0
Phone,Manufacturer 2,8.03,10,sea,Route 16,Distributor 2,65046f7afc13ae03cdfd5d18,120,0.3
Laptop,Manufacturer 1,4.27,6,rail,Route 12,Distributor 3,65046f7afc13ae03cdfd5d19,470,0.8
Tablet,Manufacturer 2,3.8,3,air,Route 12,Distributor 1,65046f7afc13ae03cdfd5d1a,170,1.0
Phone,Manufacturer 3,6.03,11,road,Route 15,Distributor 4,65046f7afc13ae03cdfd5d1b,133,0.4
Laptop,Manufacturer 2,4.64,8,sea,Route 14,Distributor 4,65046f7afc13ae03cdfd5d1c,400,0.1
Tablet,Manufacturer 2,6.43,12,road,Route 11,Distributor 2,65046f7afc13ae03cdfd5d1d,170,1.0
Phone,Manufacturer 2,5.16,10,sea,Route 14,Distributor 2,65046f7afc13ae03cdfd5d1e,120,0.3
Laptop,Manufacturer 3,5.84,5,road,Route 12,Distributor 2,65046f7afc13ae03cdfd5d1f,480,0.4
Tablet,Manufacturer 2,9.15,12,sea,Route 14,Distributor 2,65046f7afc13ae03cdfd5d20,170,1.0
Phone,Manufacturer 2,6.19,8,air,Route 12,Distributor 3,65046f7afc13ae03cdfd5d21,120,0.3
Laptop,Manufacturer 3,5.84,11,air,Route 16,Distributor 2,65046f7afc13ae03cdfd5d22,480,0.4
Tablet,Manufacturer 3,5.87,12,sea,Route 16,Distributor 1,65046f7afc13ae03cdfd5d23,165,0.5
Phone,Manufacturer 2,3.81,5,air,Route 16,Distributor 3,65046f7afc13ae03cdfd5d24,120,0.3
Laptop,Manufacturer 3,9.94,12,road,Route 11,Distributor 1,65046f7afc13ae03cdfd5d25,480,0.4
Tablet,Manufacturer 1,4.15,3,road,Route 11,Distributor 3,65046f7afc13ae03cdfd5d26,160,0.1
Phone,Manufacturer 3,5.81,3,sea,Route 13,Distributor 4,65046f7afc13ae03cdfd5d27,133,0.4
Laptop,Manufacturer 2,7.59,3,road,Route 12,Distributor 2,65046f7afc13ae03cdfd5d28,400,0.1
Tablet,Manufacturer 1,8.44,6,sea,Route 16,Distributor 1,65046f7afc13ae03cdfd5d29,160,0.1
Phone,Manufacturer 3,4.03,2,air,Route 13,Distributor 4,65046f7afc13ae03cdfd5d2a,133,0.4
Laptop,Manufacturer 3,5.28,3,road,Route 12,Distributor 2,65046f7afc13ae03cdfd5d2b,480,0.4
Tablet,Manufacturer 3,7.38,8,sea,Route 13,Distributor 4,65046f7afc13ae03cdfd5d2c,165,0.5
Phone,Manufacturer 1,9.42,4,rail,Route 12,Distributor 3,65046f7afc13ae03cdfd5d2d,100,0.6
Laptop,Manufacturer 2,7.65,2,air,Route 13,Distributor 2,65046f7afc13ae03cdfd5d2e,400,0.1
Tablet,Manufacturer 2,8.7,2,air,Route 11,Distributor 1,65046f7afc13ae03cdfd5d2f,170,1.0
Phone,Manufacturer 2,5.11,6,road,Route 11,Distributor 1,65046f7afc13ae03cdfd5d30,120,0.3
Laptop,Manufacturer 3,8.79,1,air,Route 11,Distributor 3,65046f7afc13ae03cdfd5d31,480,0.4
Tablet,Manufacturer 1,9.41,7,rail,Route 12,Distributor 2,65046f7afc13ae03cdfd5d32,160,0.1
Phone,Manufacturer 1,7.81,2,rail,Route 15,Distributor 2,65046f7afc13ae03cdfd5d33,100,0.6
Laptop,Manufacturer 2,3.14,5,air,Route 11,Distributor 1,65046f7afc13ae03cdfd5d34,400,0.1
Tablet,Manufacturer 1,9.27,8,rail,Route 11,Distributor 4,65046f7afc13ae03cdfd5d35,160,0.1
Phone,Manufacturer 1,5.0,9,air,Route 11,Distributor 4,65046f7afc13ae03cdfd5d36,100,0.6
Laptop,Manufacturer 3,8.29,1,road,Route 12,Distributor 3,65046f7afc13ae03cdfd5d37,480,0.4
Tablet,Manufacturer 2,9.31,9,rail,Route 11,Distributor 2,65046f7afc13ae03cdfd5d38,170,1.0
Phone,Manufacturer 1,9.04,1,rail,Route 15,Distributor 3,65046f7afc13ae03cdfd5d39,100,0.6
Laptop,Manufacturer 1,9.17,1,road,Route 15,Distributor 2,65046f7afc13ae03cdfd5d3a,470,0.8
Tablet,Manufacturer 2,6.65,6,road,Route 15,Distributor 1,65046f7afc13ae03cdfd5d3b,170,1.0
Phone,Manufacturer 2,9.54,10,road,Route 15,Distributor 2,65046f7afc13ae03cdfd5d3c,120,0.3
Laptop,Manufacturer 1,9.84,4,rail,Route 15,Distributor 1,65046f7afc13ae03cdfd5d3d,470,0.8
Tablet,Manufacturer 1,9.49,9,sea,Route 14,Distributor 4,65046f7afc13ae03cdfd5d3e,160,0.1
Phone,Manufacturer 1,8.3,8,road,Route 11,Distributor 4,65046f7afc13ae03cdfd5d3f,100,0.6
Laptop,Manufacturer 3,4.26,9,air,Route 11,Distributor 4,65046f7afc13ae03cdfd5d40,480,0.4
Tablet,Manufacturer 2,8.65,2,road,Route 11,Distributor 3,65046f7afc13ae03cdfd5d41,170,1.0
Phone,Manufacturer 3,6.61,1,air,Route 11,Distributor 2,65046f7afc13ae03cdfd5d42,133,0.4
Laptop,Manufacturer 1,6.5,7,sea,Route 13,Distributor 2,65046f7afc13ae03cdfd5d43,470,0.8
Tablet,Manufacturer 3,3.06,8,rail,Route 15,Distributor 3,65046f7afc13ae03cdfd5d44,165,0.5
Phone,Manufacturer 3,9.44,7,air,Route 13,Distributor 2,65046f7afc13ae03cdfd5d45,133,0.4
Laptop,Manufacturer 3,8.34,4,air,Route 16,Distributor 4,65046f7afc13ae03cdfd5d46,480,0.4
Tablet,Manufacturer 2,5.54,2,rail,Route 11,Distributor 3,65046f7afc13ae03cdfd5d47,170,1.0
Phone,Manufacturer 2,7.58,11,road,Route 11,Distributor 3,65046f7afc13ae03cdfd5d48,120,0.3
Laptop,Manufacturer 1,3.09,10,air,Route 13,Distributor 4,65046f7afc13ae03cdfd5d49,470,0.8
Tablet,Manufacturer 1,3.8,10,sea,Route 16,Distributor 4,65046f7afc13ae03cdfd5d4a,160,0.1
Phone,Manufacturer 1,3.78,2,sea,Route 14,Distributor 2,65046f7afc13ae03cdfd5d4b,100,0.6
Laptop,Manufacturer 3,4.39,7,air,Route 13,Distributor 3,65046f7afc13ae03cdfd5d4c,480,0.4
Tablet,Manufacturer 1,5.11,2,air,Route 13,Distributor 4,65046f7afc13ae03cdfd5d4d,160,0.1
Phone,Manufacturer 2,8.96,6,air,Route 12,Distributor 2,65046f7afc13ae03cdfd5d4e,120,0.3
Laptop,Manufacturer 3,3.18,12,rail,Route 11,Distributor 2,65046f7afc13ae03cdfd5d4f,480,0.4
Tablet,Manufacturer 3,7.33,8,air,Route 12,Distributor 4,65046f7afc13ae03cdfd5d50,165,0.5
Phone,Manufacturer 3,9.37,8,rail,Route 12,Distributor 1,65046f7afc13ae03cdfd5d51,133,0.4
Laptop,Manufacturer 2,9.86,6,sea,Route 13,Distributor 4,65046f7afc13ae03cdfd5d52,400,0.1
Tablet,Manufacturer 2,5.22,7,road,Route 11,Distributor 1,65046f7afc13ae03cdfd5d53,170,1.0
Phone,Manufacturer 1,3.69,10,sea,Route 14,Distributor 2,65046f7afc13ae03cdfd5d54,100,0.6
Laptop,Manufacturer 2,7.96,10,road,Route 15,Distributor 1,65046f7afc13ae03cdfd5d55,400,0.1
Tablet,Manufacturer 1,8.04,10,road,Route 11,Distributor 2,65046f7afc13ae03cdfd5d56,160,0.1
Phone,Manufacturer 1,7.37,7,sea,Route 16,Distributor 2,65046f7afc13ae03cdfd5d57,100,0.6
Laptop,Manufacturer 3,7.58,5,sea,Route 14,Distributor 1,65046f7afc13ae03cdfd5d58,480,0.4
Tablet,Manufacturer 1,7.42,3,rail,Route 11,Distributor 2,65046f7afc13ae03cdfd5d59,160,0.1
Phone,Manufacturer 3,5.27,9,rail,Route 12,Distributor 4,65046f7afc13ae03cdfd5d5a,133,0.4
Laptop,Manufacturer 3,7.2,10,rail,Route 11,Distributor 1,65046f7afc13ae03cdfd5d5b,480,0.4
Tablet,Manufacturer 3,4.48,8,air,Route 16,Distributor 1,65046f7afc13ae03cdfd5d5c,165,0.5
Phone,Manufacturer 2,5.42,8,road,Route 11,Distributor 4,65046f7afc13ae03cdfd5d5d,120,0.3
Laptop,Manufacturer 3,7.96,12,rail,Route 12,Distributor 1,65046f7afc13ae03cdfd5d5e,480,0.4
Tablet,Manufacturer 3,4.97,12,sea,Route 13,Distributor 2,65046f7afc13ae03cdfd5d5f,165,0.5
Phone,Manufacturer 2,7.77,5,sea,Route 13,Distributor 3,65046f7afc13ae03cdfd5d60,120,0.3
Laptop,Manufacturer 1,6.95,1,rail,Route 11,Distributor 1,65046f7afc13ae03cdfd5d61,470,0.8
Tablet,Manufacturer 1,7.08,3,sea,Route 14,Distributor 3,65046f7afc13ae03cdfd5d62,160,0.1
Phone,Manufacturer 3,9.6,7,air,Route 13,Distributor 2,65046f7afc13ae03cdfd5d63,133,0.4
Laptop,Manufacturer 1,5.54,11,sea,Route 16,Distributor 1,65046f7afc13ae03cdfd5d64,470,0.8
Tablet,Manufacturer 1,6.33,2,rail,Route 15,Distributor 3,65046f7afc13ae03cdfd5d65,160,0.1
Phone,Manufacturer 1,7.11,1,sea,Route 14,Distributor 1,65046f7afc13ae03cdfd5d66,100,0.6
Laptop,Manufacturer 2,8.63,4,road,Route 12,Distributor 1,65046f7afc13ae03cdfd5d67,400,0.1
Tablet,Manufacturer 2,6.75,11,air,Route 16,Distributor 3,65046f7afc13ae03cdfd5d68,170,1.0
Phone,Manufacturer 3,4.44,8,air,Route 16,Distributor 2,65046f7afc13ae03cdfd5d69,133,0.4
Laptop,Manufacturer 3,3.11,6,air,Route 13,Distributor 3,65046f7afc13ae03cdfd5d6a,480,0.4
Tablet,Manufacturer 1,3.2,2,sea,Route 16,Distributor 3,65046f7afc13ae03cdfd5d6b,160,0.1
Phone,Manufacturer 3,8.58,7,rail,Route 15,Distributor 2,65046f7afc13ae03cdfd5d6c,133,0.4
Laptop,Manufacturer 2,7.32,5,air,Route 12,Distributor 4,65046f7afc13ae03cdfd5d6d,400,0.1
Tablet,Manufacturer 2,6.42,7,air,Route 13,Distributor 4,65046f7afc13ae03cdfd5d6e,170,1.0
Phone,Manufacturer 3,3.14,10,rail,Route 12,Distributor 3,65046f7afc13ae03cdfd5d6f,133,0.4
Laptop,Manufacturer 2,9.88,8,road,Route 11,Distributor 4,65046f7afc13ae03cdfd5d70,400,0.1
Tablet,Manufacturer 2,7.79,3,sea,Route 13,Distributor 1,65046f7afc13ae03cdfd5d71,170,1.0
Phone,Manufacturer 3,9.48,10,rail,Route 12,Distributor 1,65046f7afc13ae03cdfd5d72,133,0.4
Laptop,Manufacturer 3,7.63,1,rail,Route 12,Distributor 2,65046f7afc13ae03cdfd5d73,480,0.4
Tablet,Manufacturer 3,5.09,12,sea,Route 13,Distributor 2,65046f7afc13ae03cdfd5d74,165,0.5
Phone,Manufacturer 2,8.34,1,air,Route 12,Distributor 1,65046f7afc13ae03cdfd5d75,120,0.3
Laptop,Manufacturer 3,4.19,5,air,Route 12,Distributor 2,65046f7afc13ae03cdfd5d76,480,0.4
Tablet,Manufacturer 3,4.1,8,road,Route 11,Distributor 4,65046f7afc13ae03cdfd5d77,165,0.5
Phone,Manufacturer 3,5.71,6,air,Route 11,Distributor 2,65046f7afc13ae03cdfd5d78,133,0.4
Laptop,Manufacturer 1,3.98,9,rail,Route 11,Distributor 1,65046f7afc13ae03cdfd5d79,470,0.8
Tablet,Manufacturer 3,5.79,4,road,Route 15,Distributor 2,65046f7afc13ae03cdfd5d7a,165,0.5
Phone,Manufacturer 2,3.42,1,air,Route 11,Distributor 3,65046f7afc13ae03cdfd5d7b,120,0.3
Laptop,Manufacturer 3,5.91,8,air,Route 13,Distributor 3,65046f7afc13ae03cdfd5d7c,480,0.4
Tablet,Manufacturer 3,6.81,11,sea,Route 14,Distributor 2,65046f7afc13ae03cdfd5d7d,165,0.5
Phone,Manufacturer 2,5.08,3,sea,Route 14,Distributor 2,65046f7afc13ae03cdfd5d7e,120,0.3
Laptop,Manufacturer 3,9.31,12,road,Route 11,Distributor 2,65046f7afc13ae03cdfd5d7f,480,0.4
Tablet,Manufacturer 2,5.17,2,air,Route 12,Distributor 3,65046f7afc13ae03cdfd5d80,170,1.0
Phone,Manufacturer 3,6.58,7,road,Route 15,Distributor 3,65046f7afc13ae03cdfd5d81,133,0.4
Laptop,Manufacturer 3,9.37,5,air,Route 12,Distributor 2,65046f7afc13ae03cdfd5d82,480,0.4
Tablet,Manufacturer 2,3.37,6,sea,Route 13,Distributor 2,65046f7afc13ae03cdfd5d83,170,1.0
Phone,Manufacturer 3,9.62,3,rail,Route 15,Distributor 1,65046f7afc13ae03cdfd5d84,133,0.4
Laptop,Manufacturer 1,5.72,3,rail,Route 11,Distributor 3,65046f7afc13ae03cdfd5d85,470,0.8
Tablet,Manufacturer 1,9.27,7,road,Route 15,Distributor 4,65046f7afc13ae03cdfd5d86,160,0.1
Phone,Manufacturer 1,4.7,12,sea,Route 14,Distributor 3,65046f7afc13ae03cdfd5d87,100,0.6
Laptop,Manufacturer 2,3.75,5,road,Route 11,Distributor 4,65046f7afc13ae03cdfd5d88,400,0.1
Tablet,Manufacturer 1,5.5,1,rail,Route 15,Distributor 2,65046f7afc13ae03cdfd5d89,160,0.1
Phone,Manufacturer 1,6.17,11,road,Route 15,Distributor 4,65046f7afc13ae03cdfd5d8a,100,0.6
Laptop,Manufacturer 2,6.14,8,road,Route 12,Distributor 1,65046f7afc13ae03cdfd5d8b,400,0.1
Tablet,Manufacturer 3,8.07,3,road,Route 12,Distributor 4,65046f7afc13ae03cdfd5d8c,165,0.5
Phone,Manufacturer 2,9.69,3,sea,Route 16,Distributor 4,65046f7afc13ae03cdfd5d8d,120,0.3
Laptop,Manufacturer 3,5.0,2,sea,Route 13,Distributor 4,65046f7afc13ae03cdfd5d8e,480,0.4
Tablet,Manufacturer 2,5.32,3,rail,Route 11,Distributor 3,65046f7afc13ae03cdfd5d8f,170,1.0
Phone,Manufacturer 2,8.23,9,rail,Route 12,Distributor 4,65046f7afc13ae03cdfd5d90,120,0.3
Laptop,Manufacturer 2,9.38,5,road,Route 15,Distributor 3,65046f7afc13ae03cdfd5d91,400,0.1
Tablet,Manufacturer 2,7.85,2,air,Route 13,Distributor 2,65046f7afc13ae03cdfd5d92,170,1.0
Phone,Manufacturer 1,8.35,1,sea,Route 14,Distributor 1,65046f7afc13ae03cdfd5d93,100,0.6
Laptop,Manufacturer 3,9.35,6,rail,Route 15,Distributor 3,65046f7afc13ae03cdfd5d94,480,0.4
Tablet,Manufacturer 3,6.71,9,air,Route 16,Distributor 1,65046f7afc13ae03cdfd5d95,165,0.5
Phone,Manufacturer 1,9.81,1,rail,Route 15,Distributor 1,65046f7afc13ae03cdfd5d96,100,0.6
Laptop,Manufacturer 2,8.68,2,air,Route 13,Distributor 1,65046f7afc13ae03cdfd5d97,400,0.1
Tablet,Manufacturer 2,5.77,9,air,Route 13,Distributor 3,65046f7afc13ae03cdfd5d98,170,1.0
Phone,Manufacturer 1,6.18,5,sea,Route 13,Distributor 2,65046f7afc13ae03cdfd5d99,100,0.6
Laptop,Manufacturer 2,9.72,8,air,Route 11,Distributor 1,65046f7afc13ae03cdfd5d9a,400,0.1
Tablet,Manufacturer 1,9.74,8,rail,Route 12,Distributor 4,65046f7afc13ae03cdfd5d9b,160,0.1
Phone,Manufacturer 2,9.48,11,sea,Route 16,Distributor 2,65046f7afc13ae03cdfd5d9c,120,0.3
Laptop,Manufacturer 2,5.75,10,road,Route 12,Distributor 2,65046f7afc13ae03cdfd5d9d,400,0.1
Tablet,Manufacturer 3,3.45,7,rail,Route 11,Distributor 4,65046f7afc13ae03cdfd5d9e,165,0.5
Phone,Manufacturer 3,5.98,4,sea,Route 14,Distributor 4,65046f7afc13ae03cdfd5d9f,133,0.4
Laptop,Manufacturer 3,9.55,8,sea,Route 16,Distributor 3,65046f7afc13ae03cdfd5da0,480,0.4
Tablet,Manufacturer 1,7.6,2,road,Route 15,Distributor 1,65046f7afc13ae03cdfd5da1,160,0.1
Phone,Manufacturer 3,4.41,5,air,Route 12,Distributor 4,65046f7afc13ae03cdfd5da2,133,0.4
Laptop,Manufacturer 2,5.08,5,rail,Route 12,Distributor 2,65046f7afc13ae03cdfd5da3,400,0.1
Tablet,Manufacturer 2,9.63,7,road,Route 12,Distributor 1,65046f7afc13ae03cdfd5da4,170,1.0
Phone,Manufacturer 3,6.27,6,road,Route 12,Distributor 2,65046f7afc13ae03cdfd5da5,133,0.4
Laptop,Manufacturer 1,5.48,5,road,Route 11,Distributor 3,65046f7afc13ae03cdfd5da6,470,0.8
Tablet,Manufacturer 3,8.98,8,road,Route 15,Distributor 1,65046f7afc13ae03cdfd5da7,165,0.5
Phone,Manufacturer 1,9.02,1,road,Route 12,Distributor 2,65046f7afc13ae03cdfd5da8,100,0.6
Laptop,Manufacturer 1,9.41,9,sea,Route 14,Distributor 3,65046f7afc13ae03cdfd5da9,470,0.8
Tablet,Manufacturer 3,9.56,1,air,Route 11,Distributor 1,65046f7afc13ae03cdfd5daa,165,0.5
Phone,Manufacturer 3,3.78,2,air,Route 16,Distributor 1,65046f7afc13ae03cdfd5dab,133,0.4
Laptop,Manufacturer 1,6.06,6,road,Route 12,Distributor 4,65046f7afc13ae03cdfd5dac,470,0.8
Tablet,Manufacturer 1,9.06,8,sea,Route 13,Distributor 2,65046f7afc13ae03cdfd5dad,160,0.1
Phone,Manufacturer 2,8.02,3,sea,Route 14,Distributor 1,65046f7afc13ae03cdfd5dae,120,0.3
Laptop,Manufacturer 1,5.08,5,sea,Route 13,Distributor 3,65046f7afc13ae03cdfd5daf,470,0.8
Tablet,Manufacturer 2,8.06,5,road,Route 11,Distributor 1,65046f7afc13ae03cdfd5db0,170,1.0
Phone,Manufacturer 1,6.53,10,road,Route 12,Distributor 2,65046f7afc13ae03cdfd5db1,100,0.6
Laptop,Manufacturer 3,7.91,11,sea,Route 14,Distributor 2,65046f7afc13ae03cdfd5db2,480,0.4
Tablet,Manufacturer 3,6.63,9,rail,Route 15,Distributor 3,65046f7afc13ae03cdfd5db3,165,0.5
Phone,Manufacturer 2,5.71,1,road,Route 11,Distributor 4,65046f7afc13ae03cdfd5db4,120,0.3
Laptop,Manufacturer 2,9.46,12,air,Route 11,Distributor 3,65046f7afc13ae03cdfd5db5,400,0.1
Tablet,Manufacturer 1,7.31,2,road,Route 11,Distributor 3,65046f7afc13ae03cdfd5db6,160,0.1
Phone,Manufacturer 2,9.52,1,road,Route 11,Distributor 4,65046f7afc13ae03cdfd5db7,120,0.3
Laptop,Manufacturer 2,6.9,6,rail,Route 15,Distributor 3,65046f7afc13ae03cdfd5db8,400,0.1
Tablet,Manufacturer 2,3.19,4,road,Route 11,Distributor 2,65046f7afc13ae03cdfd5db9,170,1.0
Phone,Manufacturer 3,9.74,2,air,Route 12,Distributor 1,65046f7afc13ae03cdfd5dba,133,0.4
Laptop,Manufacturer 3,9.54,11,road,Route 12,Distributor 3,65046f7afc13ae03cdfd5dbb,480,0.4
Tablet,Manufacturer 1,6.97,10,sea,Route 13,Distributor 2,65046f7afc13ae03cdfd5dbc,160,0.1
Phone,Manufacturer 3,6.04,5,sea,Route 13,Distributor 2,65046f7afc13ae03cdfd5dbd,133,0.4
Laptop,Manufacturer 2,8.88,3,sea,Route 16,Distributor 4,65046f7afc13ae03cdfd5dbe,400,0.1
Tablet,Manufacturer 3,5.99,6,air,Route 16,Distributor 1,65046f7afc13ae03cdfd5dbf,165,0.5
Phone,Manufacturer 3,7.83,7,sea,Route 16,Distributor 2,65046f7afc13ae03cdfd5dc0,133,0.4
Laptop,Manufacturer 1,8.45,8,air,Route 12,Distributor 2,65046f7afc13ae03cdfd5dc1,470,0.8
Tablet,Manufacturer 1,6.06,5,road,Route 15,Distributor 3,65046f7afc13ae03cdfd5dc2,160,0.1
Phone,Manufacturer 1,9.11,3,road,Route 12,Distributor 1,65046f7afc13ae03cdfd5dc3,100,0.6
Laptop,Manufacturer 1,6.89,11,sea,Route 13,Distributor 3,65046f7afc13ae03cdfd5dc4,470,0.8
