Supplier name,Supplier stock ,Supplier cost per item (in $),Supplier order quantity,Supplier shipping cost (in $),Supplier shipping time,Supplier transport mode,Supplier routes ,Supplier destinations,Product ID
supplier 4,45,10.44,28,50.15,9,sea,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5dc2
supplier 6,764,34.33,15,154.81,8,road,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5dc3
supplier 2,134,26.01,72,239.64,8,air,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5dc4
supplier 3,849,18.77,151,118.78,12,road,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5dc5
supplier 4,472,34.09,58,294.05,25,sea,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5dc6
supplier 5,966,30.63,84,72.95,20,air,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5dc7
supplier 2,515,20.25,16,149.52,4,air,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5dc8
supplier 5,706,15.49,182,269.22,25,air,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5dc9
supplier 2,460,30.38,100,250.89,11,sea,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5dca
supplier 3,598,29.99,158,266.23,15,sea,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5dcb
supplier 3,959,11.96,78,294.76,15,air,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5dcc
supplier 4,938,13.66,6,243.05,12,road,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5dcd
supplier 1,440,30.29,62,109.9,11,air,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5dce
supplier 1,342,25.93,41,215.31,26,road,Route 3,Manufacturer 1,65046f7afc13ae03cdfd5dcf
supplier 6,259,22.17,96,218.84,12,rail,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5dd0
supplier 6,867,21.04,148,291.99,21,sea,Route 4,Manufacturer 3,65046f7afc13ae03cdfd5dd1
supplier 3,170,16.14,198,132.8,29,rail,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5dd2
supplier 3,648,10.52,87,191.04,13,rail,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5dd3
supplier 5,790,31.3,66,99.74,16,sea,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5dd4
supplier 5,855,29.68,75,285.32,6,air,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5dd5
supplier 5,580,22.93,28,178.37,18,sea,Route 1,Manufacturer 1,65046f7afc13ae03cdfd5dd6
supplier 6,503,18.01,54,217.48,28,rail,Route 3,Manufacturer 1,65046f7afc13ae03cdfd5dd7
supplier 5,92,33.56,120,76.73,8,road,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5dd8
supplier 6,220,29.81,93,213.64,15,sea,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5dd9
supplier 4,799,32.31,28,209.87,17,air,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5dda
supplier 1,684,7.44,123,169.42,27,road,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5ddb
supplier 4,877,24.97,75,250.06,9,sea,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5ddc
supplier 6,100,33.62,89,88.87,30,sea,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5ddd
supplier 3,436,24.02,184,148.02,6,air,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5dde
supplier 4,754,6.4,174,127.11,10,air,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5ddf
supplier 3,380,20.03,19,248.86,10,air,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5de0
supplier 4,7,33.66,184,154.41,22,air,Route 4,Manufacturer 3,65046f7afc13ae03cdfd5de1
supplier 1,29,20.16,182,78.6,17,sea,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5de2
supplier 3,197,13.15,118,280.64,1,air,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5de3
supplier 4,514,8.37,45,58.41,30,sea,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5de4
supplier 3,923,24.2,48,286.02,13,rail,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5de5
supplier 6,67,8.72,81,59.92,9,sea,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5de6
supplier 3,840,31.62,19,233.35,13,rail,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5de7
supplier 4,200,8.19,165,212.31,6,road,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5de8
supplier 3,647,23.86,81,270.13,24,air,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5de9
supplier 4,500,31.65,149,191.69,11,air,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5dea
supplier 4,272,20.44,31,126.37,8,rail,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5deb
supplier 3,828,10.88,166,285.47,10,air,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5dec
supplier 5,342,30.08,179,177.78,30,sea,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5ded
supplier 2,628,9.13,185,52.52,29,road,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5dee
supplier 4,522,6.17,118,220.82,12,sea,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5def
supplier 4,761,27.92,198,60.51,11,road,Route 4,Manufacturer 3,65046f7afc13ae03cdfd5df0
supplier 6,939,28.01,21,232.53,15,rail,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5df1
supplier 3,266,19.04,104,188.46,3,rail,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5df2
supplier 5,916,20.72,138,107.11,8,road,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5df3
supplier 6,910,14.86,77,81.94,17,rail,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5df4
supplier 6,360,29.01,141,147.36,7,road,Route 3,Manufacturer 1,65046f7afc13ae03cdfd5df5
supplier 2,316,5.35,55,291.71,13,road,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5df6
supplier 6,824,6.17,83,82.92,20,road,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5df7
supplier 4,363,27.74,46,180.01,4,sea,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5df8
supplier 4,414,14.7,129,62.61,23,sea,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5df9
supplier 6,191,6.45,189,81.05,18,road,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5dfa
supplier 2,50,22.32,164,211.88,22,road,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5dfb
supplier 1,562,21.53,164,294.46,4,road,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5dfc
supplier 5,105,10.93,25,146.51,26,air,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5dfd
supplier 4,4,14.19,93,263.87,6,air,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5dfe
supplier 6,745,5.98,62,69.71,28,sea,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5dff
supplier 2,921,16.23,47,279.71,7,rail,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5e00
supplier 4,227,25.81,178,230.33,12,road,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5e01
supplier 1,633,13.36,40,170.41,4,sea,Route 3,Manufacturer 1,65046f7afc13ae03cdfd5e02
supplier 5,434,29.3,130,163.58,21,rail,Route 1,Manufacturer 1,65046f7afc13ae03cdfd5e03
supplier 5,7,10.21,155,286.64,19,rail,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5e04
supplier 1,605,17.02,134,92.39,15,rail,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5e05
supplier 4,114,5.62,91,258.08,27,air,Route 4,Manufacturer 3,65046f7afc13ae03cdfd5e06
supplier 5,696,10.31,98,165.86,26,sea,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5e07
supplier 2,60,17.45,105,63.19,20,rail,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5e08
supplier 6,126,18.92,64,108.8,19,rail,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5e09
supplier 6,261,15.61,193,225.46,25,air,Route 3,Manufacturer 1,65046f7afc13ae03cdfd5e0a
supplier 2,1000,18.27,16,176.39,2,road,Route 4,Manufacturer 3,65046f7afc13ae03cdfd5e0b
supplier 2,759,10.01,192,272.03,10,rail,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5e0c
supplier 1,980,28.75,92,171.85,9,air,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5e0d
supplier 2,989,14.12,199,116.14,20,road,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5e0e
supplier 5,918,13.33,191,68.9,28,air,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5e0f
supplier 1,895,22.75,30,253.19,21,road,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5e10
supplier 3,630,9.64,198,203.72,16,road,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5e11
supplier 1,802,32.16,71,194.39,2,air,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5e12
supplier 4,374,5.02,100,190.72,20,road,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5e13
supplier 1,525,20.46,21,285.97,13,road,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5e14
supplier 6,241,21.84,108,65.92,30,air,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5e15
supplier 3,190,31.91,93,165.11,28,road,Route 1,Manufacturer 1,65046f7afc13ae03cdfd5e16
supplier 1,777,29.75,94,252.2,23,sea,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5e17
supplier 6,449,5.87,118,230.8,8,rail,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5e18
supplier 6,150,9.99,111,133.01,10,air,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5e19
supplier 5,949,27.05,27,215.54,1,air,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5e1a
supplier 2,547,30.23,63,129.72,22,rail,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5e1b
supplier 6,767,9.66,171,202.62,29,sea,Route 1,Manufacturer 1,65046f7afc13ae03cdfd5e1c
supplier 4,696,14.04,19,72.92,2,road,Route 4,Manufacturer 3,65046f7afc13ae03cdfd5e1d
supplier 1,204,19.58,136,241.98,18,sea,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5e1e
supplier 5,48,22.15,99,206.19,20,rail,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5e1f
supplier 2,375,14.1,123,88.06,4,sea,Route 1,Manufacturer 1,65046f7afc13ae03cdfd5e20
supplier 6,595,15.9,129,83.62,25,road,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5e21
supplier 6,218,26.52,93,297.9,9,air,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5e22
supplier 6,612,31.44,57,100.35,30,sea,Route 4,Manufacturer 3,65046f7afc13ae03cdfd5e23
supplier 4,14,32.3,19,131.61,8,road,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5e24
supplier 2,503,26.07,165,149.56,6,rail,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5e25
supplier 3,179,6.93,130,243.55,6,sea,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5e26
supplier 4,205,28.82,156,141.34,27,road,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5e27
supplier 5,581,13.88,2,72.3,16,rail,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5e28
supplier 1,393,7.16,194,189.36,24,sea,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5e29
supplier 6,293,18.23,78,292.32,25,rail,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5e2a
supplier 5,237,15.64,44,204.87,27,air,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5e2b
supplier 6,453,6.55,57,131.02,9,rail,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5e2c
supplier 5,595,29.57,192,110.19,25,road,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5e2d
supplier 1,124,10.96,135,71.7,19,road,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5e2e
supplier 3,349,9.25,135,164.22,8,air,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5e2f
supplier 5,513,6.93,179,191.8,1,rail,Route 4,Manufacturer 2,65046f7afc13ae03cdfd5e30
supplier 5,42,33.68,141,101.33,21,road,Route 4,Manufacturer 2,65046f7afc13ae03cdfd5e31
supplier 2,522,5.36,9,190.97,12,road,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5e32
supplier 5,58,10.04,191,139.03,9,air,Route 4,Manufacturer 2,65046f7afc13ae03cdfd5e33
supplier 4,927,27.47,153,295.76,11,road,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5e34
supplier 3,921,11.03,65,110.59,10,air,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5e35
supplier 3,451,11.62,86,106.4,15,rail,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5e36
supplier 1,954,34.73,68,231.6,28,air,Route 3,Manufacturer 1,65046f7afc13ae03cdfd5e37
supplier 2,708,5.87,178,133.76,16,road,Route 1,Manufacturer 1,65046f7afc13ae03cdfd5e38
supplier 6,558,13.24,24,92.66,9,air,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5e39
supplier 4,969,11.25,96,178.12,30,air,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5e3a
supplier 3,813,8.97,15,187.52,23,air,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5e3b
supplier 6,841,10.89,51,84.06,3,rail,Route 4,Manufacturer 2,65046f7afc13ae03cdfd5e3c
supplier 5,322,26.37,176,101.68,16,sea,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5e3d
supplier 1,617,32.35,189,150.73,30,road,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5e3e
supplier 3,740,21.06,145,204.31,5,road,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5e3f
supplier 5,731,10.01,143,226.72,12,air,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5e40
supplier 4,537,12.33,194,173.0,25,air,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5e41
supplier 2,893,7.63,198,103.99,25,air,Route 3,Manufacturer 2,65046f98fc13ae02b6fd5476
supplier 4,427,21.18,79,216.88,29,rail,Route 5,Manufacturer 1,65046f98fc13ae02b6fd5477
supplier 6,772,26.46,112,100.54,1,air,Route 2,Manufacturer 3,65046f98fc13ae02b6fd5478
supplier 5,14,13.52,145,61.37,30,rail,Route 6,Manufacturer 3,65046f98fc13ae02b6fd5479
supplier 5,972,33.81,70,261.85,19,sea,Route 3,Manufacturer 2,65046f98fc13ae02b6fd547a
supplier 2,446,9.88,119,255.24,5,sea,Route 3,Manufacturer 1,65046f98fc13ae02b6fd547b
supplier 5,286,5.06,158,281.9,27,rail,Route 2,Manufacturer 2,65046f98fc13ae02b6fd547c
supplier 3,281,14.37,79,128.14,8,sea,Route 2,Manufacturer 3,65046f98fc13ae02b6fd547d
supplier 5,330,32.83,156,151.53,3,road,Route 5,Manufacturer 1,65046f98fc13ae02b6fd547e
supplier 6,261,18.11,19,251.02,5,air,Route 3,Manufacturer 2,65046f98fc13ae02b6fd547f
supplier 4,302,26.66,182,220.32,20,rail,Route 1,Manufacturer 2,65046f98fc13ae02b6fd5480
supplier 1,641,24.1,31,144.05,8,sea,Route 6,Manufacturer 1,65046f98fc13ae02b6fd5481
supplier 1,640,24.06,47,113.41,1,road,Route 1,Manufacturer 3,65046f98fc13ae02b6fd5482
supplier 5,847,7.98,101,194.24,17,rail,Route 6,Manufacturer 3,65046f98fc13ae02b6fd5483
supplier 5,826,9.21,31,296.34,25,rail,Route 1,Manufacturer 1,65046f98fc13ae02b6fd5484
supplier 3,95,9.57,64,74.61,9,road,Route 1,Manufacturer 3,65046f98fc13ae02b6fd5485
supplier 5,706,32.5,153,222.81,2,air,Route 5,Manufacturer 1,65046f98fc13ae02b6fd5486
supplier 3,672,29.11,3,66.38,13,road,Route 2,Manufacturer 1,65046f98fc13ae02b6fd5487
supplier 5,472,18.69,60,75.73,25,road,Route 6,Manufacturer 1,65046f98fc13ae02b6fd5488
supplier 2,611,24.34,6,216.3,4,road,Route 5,Manufacturer 1,65046f98fc13ae02b6fd5489
supplier 5,444,20.43,90,151.02,10,road,Route 4,Manufacturer 2,65046f98fc13ae02b6fd548a
supplier 4,938,33.98,125,136.83,23,rail,Route 6,Manufacturer 2,65046f98fc13ae02b6fd548b
supplier 2,286,29.06,103,171.36,23,air,Route 3,Manufacturer 1,65046f98fc13ae02b6fd548c
supplier 6,849,23.72,150,97.29,26,rail,Route 5,Manufacturer 3,65046f98fc13ae02b6fd548d
supplier 5,1,13.74,105,62.38,18,sea,Route 4,Manufacturer 3,65046f98fc13ae02b6fd548e
supplier 2,97,21.23,97,182.05,19,air,Route 5,Manufacturer 1,65046f98fc13ae02b6fd548f
supplier 3,880,17.38,46,118.36,30,road,Route 1,Manufacturer 2,65046f98fc13ae02b6fd5490
supplier 6,525,6.73,47,97.96,2,air,Route 5,Manufacturer 1,65046f98fc13ae02b6fd5491
supplier 1,996,15.48,30,120.42,29,air,Route 4,Manufacturer 3,65046f98fc13ae02b6fd5492
supplier 3,182,10.81,71,155.15,23,road,Route 4,Manufacturer 3,65046f98fc13ae02b6fd5493
supplier 6,93,25.34,64,202.77,15,road,Route 1,Manufacturer 3,65046f98fc13ae02b6fd5494
supplier 6,422,29.14,58,176.31,5,air,Route 5,Manufacturer 1,65046f98fc13ae02b6fd5495
supplier 5,25,26.24,84,200.18,29,road,Route 5,Manufacturer 3,65046f98fc13ae02b6fd5496
supplier 3,215,19.81,79,160.79,4,air,Route 5,Manufacturer 3,65046f98fc13ae02b6fd5497
supplier 3,331,11.05,122,297.85,7,road,Route 6,Manufacturer 3,65046f98fc13ae02b6fd5498
supplier 1,143,23.79,52,279.29,30,air,Route 1,Manufacturer 3,65046f98fc13ae02b6fd5499
supplier 6,967,10.12,1,223.73,30,rail,Route 6,Manufacturer 2,65046f98fc13ae02b6fd549a
supplier 4,397,34.8,141,299.01,7,road,Route 3,Manufacturer 2,65046f98fc13ae02b6fd549b
supplier 2,458,14.49,183,53.18,9,rail,Route 6,Manufacturer 3,65046f98fc13ae02b6fd549c
supplier 6,683,32.39,28,290.35,16,rail,Route 4,Manufacturer 3,65046f98fc13ae02b6fd549d
supplier 4,902,7.37,83,148.43,30,air,Route 2,Manufacturer 3,65046f98fc13ae02b6fd549e
supplier 2,649,14.98,12,289.64,2,sea,Route 3,Manufacturer 1,65046f98fc13ae02b6fd549f
supplier 4,219,32.06,109,110.54,13,sea,Route 3,Manufacturer 2,65046f98fc13ae02b6fd54a0
supplier 6,276,23.23,68,51.66,27,rail,Route 4,Manufacturer 3,65046f98fc13ae02b6fd54a1
supplier 4,850,7.6,170,263.85,6,road,Route 3,Manufacturer 1,65046f98fc13ae02b6fd54a2
supplier 1,910,6.93,80,153.71,7,sea,Route 6,Manufacturer 1,65046f98fc13ae02b6fd54a3
supplier 5,794,19.29,131,224.08,19,sea,Route 4,Manufacturer 3,65046f98fc13ae02b6fd54a4
supplier 3,444,9.28,6,178.24,23,air,Route 6,Manufacturer 3,65046f98fc13ae02b6fd54a5
supplier 3,648,24.44,94,170.1,22,air,Route 3,Manufacturer 2,65046f98fc13ae02b6fd54a6
supplier 1,364,23.59,47,197.69,25,rail,Route 1,Manufacturer 1,65046f98fc13ae02b6fd54a7
supplier 1,756,19.98,63,197.75,7,road,Route 1,Manufacturer 1,65046f98fc13ae02b6fd54a8
supplier 1,966,6.84,159,218.38,9,rail,Route 2,Manufacturer 2,65046f98fc13ae02b6fd54a9
supplier 3,82,18.3,114,64.27,13,road,Route 2,Manufacturer 2,65046f98fc13ae02b6fd54aa
supplier 6,499,17.96,20,234.67,17,rail,Route 2,Manufacturer 2,65046f98fc13ae02b6fd54ab
supplier 4,371,5.86,47,136.56,10,rail,Route 2,Manufacturer 2,65046f98fc13ae02b6fd54ac
supplier 5,429,18.46,149,267.19,2,air,Route 1,Manufacturer 2,65046f98fc13ae02b6fd54ad
supplier 2,48,5.16,190,97.38,5,road,Route 6,Manufacturer 3,65046f98fc13ae02b6fd54ae
supplier 2,480,6.69,198,253.87,15,rail,Route 3,Manufacturer 1,65046f98fc13ae02b6fd54af
supplier 1,669,27.21,77,81.49,28,rail,Route 4,Manufacturer 1,65046f98fc13ae02b6fd54b0
supplier 6,734,9.12,99,190.69,8,air,Route 1,Manufacturer 2,65046f98fc13ae02b6fd54b1
supplier 2,784,33.06,98,165.58,3,rail,Route 2,Manufacturer 2,65046f98fc13ae02b6fd54b2
supplier 3,906,9.63,163,119.54,22,sea,Route 2,Manufacturer 2,65046f98fc13ae02b6fd54b3
supplier 4,119,31.03,139,103.76,7,sea,Route 1,Manufacturer 1,65046f98fc13ae02b6fd54b4
supplier 6,528,34.69,68,82.42,4,air,Route 1,Manufacturer 3,65046f98fc13ae02b6fd54b5
supplier 6,44,29.53,52,235.02,11,road,Route 6,Manufacturer 3,65046f98fc13ae02b6fd54b6
supplier 2,435,15.23,168,197.87,20,rail,Route 5,Manufacturer 1,65046f98fc13ae02b6fd54b7
supplier 2,640,27.05,46,88.3,1,rail,Route 1,Manufacturer 3,65046f98fc13ae02b6fd54b8
supplier 2,328,5.35,166,106.53,6,rail,Route 1,Manufacturer 3,65046f98fc13ae02b6fd54b9
supplier 3,547,9.57,27,263.82,25,sea,Route 4,Manufacturer 2,65046f98fc13ae02b6fd54ba
supplier 4,563,24.71,75,94.09,25,sea,Route 2,Manufacturer 2,65046f98fc13ae02b6fd54bb
supplier 5,498,25.22,180,285.26,6,sea,Route 1,Manufacturer 3,65046f98fc13ae02b6fd54bc
supplier 3,393,15.66,117,290.71,27,air,Route 5,Manufacturer 3,65046f98fc13ae02b6fd54bd
supplier 5,792,9.83,109,208.13,29,rail,Route 3,Manufacturer 1,65046f98fc13ae02b6fd54be
supplier 4,617,28.11,183,181.36,3,air,Route 4,Manufacturer 2,65046f98fc13ae02b6fd54bf
supplier 3,766,14.8,111,114.66,15,road,Route 4,Manufacturer 3,65046f98fc13ae02b6fd54c0
supplier 6,563,32.29,121,97.29,10,air,Route 6,Manufacturer 2,65046f98fc13ae02b6fd54c1
supplier 5,604,17.56,92,157.38,10,rail,Route 1,Manufacturer 1,65046f98fc13ae02b6fd54c2
supplier 5,231,20.28,91,218.47,14,road,Route 3,Manufacturer 1,65046f98fc13ae02b6fd54c3
supplier 3,359,15.53,156,279.97,10,rail,Route 1,Manufacturer 1,65046f98fc13ae02b6fd54c4
supplier 6,499,6.36,65,130.61,10,road,Route 1,Manufacturer 1,65046f98fc13ae02b6fd54c5
supplier 4,263,29.18,104,126.78,14,sea,Route 6,Manufacturer 2,65046f98fc13ae02b6fd54c6
supplier 4,774,10.6,189,284.39,1,sea,Route 2,Manufacturer 1,65046f98fc13ae02b6fd54c7
supplier 4,32,27.17,195,253.27,24,sea,Route 6,Manufacturer 2,65046f98fc13ae02b6fd54c8
supplier 4,681,25.63,124,250.2,14,road,Route 1,Manufacturer 3,65046f98fc13ae02b6fd54c9
supplier 4,348,17.19,98,160.37,20,sea,Route 6,Manufacturer 1,65046f98fc13ae02b6fd54ca
supplier 5,60,13.99,82,126.08,16,air,Route 6,Manufacturer 2,65046f98fc13ae02b6fd54cb
supplier 5,620,33.35,6,121.05,13,rail,Route 1,Manufacturer 3,65046f98fc13ae02b6fd54cc
supplier 4,234,31.98,40,186.78,12,rail,Route 1,Manufacturer 1,65046f98fc13ae02b6fd54cd
supplier 5,702,28.4,88,97.41,30,rail,Route 4,Manufacturer 3,65046f98fc13ae02b6fd54ce
supplier 2,905,24.39,23,73.71,16,air,Route 1,Manufacturer 2,65046f98fc13ae02b6fd54cf
supplier 4,503,21.68,123,288.24,5,road,Route 1,Manufacturer 3,65046f98fc13ae02b6fd54d0
supplier 6,727,34.87,11,235.69,3,sea,Route 3,Manufacturer 3,65046f98fc13ae02b6fd54d1
supplier 2,696,25.64,25,267.39,29,air,Route 5,Manufacturer 2,65046f98fc13ae02b6fd54d2
supplier 5,731,26.4,108,87.59,25,road,Route 5,Manufacturer 2,65046f98fc13ae02b6fd54d3
supplier 1,128,25.61,70,232.93,27,rail,Route 1,Manufacturer 3,65046f98fc13ae02b6fd54d4
supplier 3,634,17.65,45,250.87,18,sea,Route 1,Manufacturer 3,65046f98fc13ae02b6fd54d5
supplier 2,204,9.64,26,156.61,22,rail,Route 1,Manufacturer 2,65046f98fc13ae02b6fd54d6
supplier 2,4,17.59,115,204.98,19,sea,Route 2,Manufacturer 1,65046f98fc13ae02b6fd54d7
supplier 6,962,6.28,30,228.06,13,rail,Route 2,Manufacturer 1,65046f98fc13ae02b6fd54d8
supplier 6,218,32.83,49,101.64,28,road,Route 1,Manufacturer 3,65046f98fc13ae02b6fd54d9
supplier 2,166,10.68,95,174.7,26,road,Route 3,Manufacturer 1,65046f98fc13ae02b6fd54da
supplier 6,617,16.45,24,128.83,6,air,Route 1,Manufacturer 2,65046f98fc13ae02b6fd54db
supplier 6,397,27.31,87,77.96,4,air,Route 3,Manufacturer 2,65046f98fc13ae02b6fd54dc
supplier 5,728,32.52,184,227.71,13,air,Route 6,Manufacturer 2,65046f98fc13ae02b6fd54dd
supplier 1,616,22.11,188,100.01,5,road,Route 2,Manufacturer 3,65046f98fc13ae02b6fd54de
supplier 5,859,14.49,11,82.26,29,rail,Route 2,Manufacturer 2,65046f98fc13ae02b6fd54df
supplier 2,971,11.31,82,163.16,13,sea,Route 5,Manufacturer 2,65046f98fc13ae02b6fd54e0
supplier 1,114,19.74,13,130.84,4,road,Route 6,Manufacturer 1,65046f98fc13ae02b6fd54e1
supplier 4,791,16.33,44,233.81,12,sea,Route 5,Manufacturer 3,65046f98fc13ae02b6fd54e2
supplier 4,726,12.02,180,69.03,8,road,Route 3,Manufacturer 2,65046f98fc13ae02b6fd54e3
supplier 5,270,32.6,52,155.93,30,air,Route 4,Manufacturer 1,65046f98fc13ae02b6fd54e4
supplier 6,846,32.93,24,288.42,28,sea,Route 6,Manufacturer 1,65046f98fc13ae02b6fd54e5
supplier 2,62,34.55,29,200.36,19,air,Route 5,Manufacturer 1,65046f98fc13ae02b6fd54e6
supplier 1,310,13.85,130,57.95,8,road,Route 3,Manufacturer 3,65046f98fc13ae02b6fd54e7
supplier 3,599,32.64,20,103.64,24,sea,Route 5,Manufacturer 3,65046f98fc13ae02b6fd54e8
supplier 1,947,31.83,199,148.2,19,road,Route 2,Manufacturer 1,65046f98fc13ae02b6fd54e9
supplier 3,246,25.05,38,110.73,27,rail,Route 3,Manufacturer 1,65046f98fc13ae02b6fd54ea
supplier 5,696,14.55,55,223.46,4,rail,Route 4,Manufacturer 2,65046f98fc13ae02b6fd54eb
supplier 6,903,13.13,152,240.85,10,road,Route 3,Manufacturer 1,65046f98fc13ae02b6fd54ec
supplier 6,814,25.62,93,193.82,30,rail,Route 6,Manufacturer 3,65046f98fc13ae02b6fd54ed
supplier 1,92,28.22,76,77.1,19,road,Route 5,Manufacturer 3,65046f98fc13ae02b6fd54ee
supplier 6,937,12.37,144,202.57,5,road,Route 2,Manufacturer 1,65046f98fc13ae02b6fd54ef
supplier 4,791,14.99,176,198.97,12,air,Route 3,Manufacturer 2,65046f98fc13ae02b6fd54f0
supplier 5,856,18.78,75,253.87,30,air,Route 1,Manufacturer 2,65046f98fc13ae02b6fd54f1
supplier 5,779,32.69,142,87.99,6,road,Route 5,Manufacturer 1,65046f98fc13ae02b6fd54f2
supplier 5,258,5.16,69,200.4,5,rail,Route 4,Manufacturer 1,65046f98fc13ae02b6fd54f3
supplier 5,862,15.84,71,294.21,18,sea,Route 6,Manufacturer 1,65046f98fc13ae02b6fd54f4
