Product Type,Distributor name,Distributor shipping cost,Distributor shipping time,Distributor transport mode,Distributor routes ,Distributor destinations,Product ID,Distributor cost
Tablet,Distributor 3,4.82,2,sea,Route 26,Retailer 6,65046f98fc13ae02b6fd55c8,350
Phone,Distributor 1,4.14,4,sea,Route 26,Retailer 3,65046f98fc13ae02b6fd55c9,200
Laptop,Distributor 4,7.44,6,sea,Route 26,Retailer 1,65046f98fc13ae02b6fd55ca,480
Tablet,Distributor 1,9.42,4,rail,Route 21,Retailer 5,65046f98fc13ae02b6fd55cb,200
Phone,Distributor 3,3.52,2,sea,Route 26,Retailer 5,65046f98fc13ae02b6fd55cc,300
Laptop,Distributor 4,7.83,3,road,Route 22,Retailer 2,65046f98fc13ae02b6fd55cd,480
Tablet,Distributor 2,8.59,4,rail,Route 21,Retailer 4,65046f98fc13ae02b6fd55ce,170
Phone,Distributor 4,9.06,6,road,Route 22,Retailer 2,65046f98fc13ae02b6fd55cf,250
Laptop,Distributor 1,8.41,3,air,Route 21,Retailer 2,65046f98fc13ae02b6fd55d0,540
Tablet,Distributor 1,5.75,6,sea,Route 26,Retailer 6,65046f98fc13ae02b6fd55d1,200
Phone,Distributor 2,6.83,6,rail,Route 21,Retailer 4,65046f98fc13ae02b6fd55d2,190
Laptop,Distributor 4,8.96,6,sea,Route 26,Retailer 2,65046f98fc13ae02b6fd55d3,480
Tablet,Distributor 4,6.55,4,air,Route 21,Retailer 5,65046f98fc13ae02b6fd55d4,220
Phone,Distributor 4,4.17,1,sea,Route 26,Retailer 4,65046f98fc13ae02b6fd55d5,250
Laptop,Distributor 4,5.74,2,sea,Route 26,Retailer 2,65046f98fc13ae02b6fd55d6,480
Tablet,Distributor 2,6.65,5,air,Route 21,Retailer 1,65046f98fc13ae02b6fd55d7,170
Phone,Distributor 2,3.58,6,sea,Route 26,Retailer 3,65046f98fc13ae02b6fd55d8,190
Laptop,Distributor 3,8.13,2,air,Route 21,Retailer 1,65046f98fc13ae02b6fd55d9,500
Tablet,Distributor 2,3.42,6,air,Route 26,Retailer 2,65046f98fc13ae02b6fd55da,170
Phone,Distributor 3,7.23,6,road,Route 24,Retailer 2,65046f98fc13ae02b6fd55db,300
Laptop,Distributor 4,6.29,2,rail,Route 22,Retailer 6,65046f98fc13ae02b6fd55dc,480
Tablet,Distributor 4,7.59,4,road,Route 23,Retailer 4,65046f98fc13ae02b6fd55dd,220
Phone,Distributor 3,8.04,2,rail,Route 21,Retailer 5,65046f98fc13ae02b6fd55de,300
Laptop,Distributor 2,4.95,3,sea,Route 26,Retailer 3,65046f98fc13ae02b6fd55df,440
Tablet,Distributor 1,3.63,6,rail,Route 21,Retailer 5,65046f98fc13ae02b6fd55e0,200
Phone,Distributor 1,9.14,1,sea,Route 26,Retailer 2,65046f98fc13ae02b6fd55e1,200
Laptop,Distributor 3,9.41,1,sea,Route 26,Retailer 2,65046f98fc13ae02b6fd55e2,500
Tablet,Distributor 2,5.26,6,road,Route 24,Retailer 6,65046f98fc13ae02b6fd55e3,170
Phone,Distributor 2,8.11,2,air,Route 26,Retailer 3,65046f98fc13ae02b6fd55e4,190
Laptop,Distributor 3,4.58,1,air,Route 26,Retailer 1,65046f98fc13ae02b6fd55e5,500
Tablet,Distributor 1,8.74,2,road,Route 24,Retailer 1,65046f98fc13ae02b6fd55e6,200
Phone,Distributor 1,5.88,5,road,Route 21,Retailer 2,65046f98fc13ae02b6fd55e7,200
Laptop,Distributor 4,8.96,2,rail,Route 22,Retailer 5,65046f98fc13ae02b6fd55e8,480
Tablet,Distributor 2,8.91,1,road,Route 21,Retailer 6,65046f98fc13ae02b6fd55e9,170
Phone,Distributor 3,4.74,2,sea,Route 26,Retailer 3,65046f98fc13ae02b6fd55ea,300
Laptop,Distributor 2,7.92,2,sea,Route 26,Retailer 1,65046f98fc13ae02b6fd55eb,440
Tablet,Distributor 1,8.44,2,road,Route 22,Retailer 2,65046f98fc13ae02b6fd55ec,200
Phone,Distributor 2,8.25,3,sea,Route 26,Retailer 2,65046f98fc13ae02b6fd55ed,190
Laptop,Distributor 4,7.19,6,air,Route 26,Retailer 5,65046f98fc13ae02b6fd55ee,480
Tablet,Distributor 1,4.87,4,rail,Route 21,Retailer 3,65046f98fc13ae02b6fd55ef,200
Phone,Distributor 1,4.83,3,sea,Route 26,Retailer 3,65046f98fc13ae02b6fd55f0,200
Laptop,Distributor 1,8.32,6,air,Route 26,Retailer 2,65046f98fc13ae02b6fd55f1,540
Tablet,Distributor 4,8.84,6,rail,Route 22,Retailer 6,65046f98fc13ae02b6fd55f2,220
Phone,Distributor 3,6.4,4,sea,Route 26,Retailer 3,65046f98fc13ae02b6fd55f3,300
Laptop,Distributor 1,6.74,5,road,Route 22,Retailer 3,65046f98fc13ae02b6fd55f4,540
Tablet,Distributor 4,6.94,5,rail,Route 21,Retailer 2,65046f98fc13ae02b6fd55f5,220
Phone,Distributor 4,5.13,3,road,Route 24,Retailer 5,65046f98fc13ae02b6fd55f6,250
Laptop,Distributor 2,3.2,5,air,Route 21,Retailer 6,65046f98fc13ae02b6fd55f7,440
Tablet,Distributor 3,8.81,1,rail,Route 21,Retailer 5,65046f98fc13ae02b6fd55f8,350
Phone,Distributor 1,3.16,2,air,Route 21,Retailer 5,65046f98fc13ae02b6fd55f9,200
Laptop,Distributor 1,3.91,2,rail,Route 21,Retailer 6,65046f98fc13ae02b6fd55fa,540
Tablet,Distributor 1,8.24,3,sea,Route 26,Retailer 6,65046f98fc13ae02b6fd55fb,200
Phone,Distributor 1,9.34,4,road,Route 24,Retailer 6,65046f98fc13ae02b6fd55fc,200
Laptop,Distributor 3,6.73,3,rail,Route 22,Retailer 2,65046f98fc13ae02b6fd55fd,500
Tablet,Distributor 4,8.08,6,rail,Route 22,Retailer 2,65046f98fc13ae02b6fd55fe,220
Phone,Distributor 2,3.63,2,air,Route 26,Retailer 3,65046f98fc13ae02b6fd55ff,190
Laptop,Distributor 4,5.14,4,sea,Route 26,Retailer 2,65046f98fc13ae02b6fd5600,480
Tablet,Distributor 1,3.02,1,rail,Route 22,Retailer 1,65046f98fc13ae02b6fd5601,200
Phone,Distributor 2,5.94,1,road,Route 24,Retailer 4,65046f98fc13ae02b6fd5602,190
Laptop,Distributor 2,9.84,5,rail,Route 22,Retailer 4,65046f98fc13ae02b6fd5603,440
Tablet,Distributor 2,8.68,2,air,Route 26,Retailer 1,65046f98fc13ae02b6fd5604,170
Phone,Distributor 2,8.83,5,air,Route 26,Retailer 5,65046f98fc13ae02b6fd5605,190
Laptop,Distributor 4,9.75,6,road,Route 24,Retailer 1,65046f98fc13ae02b6fd5606,480
Tablet,Distributor 4,5.88,3,air,Route 26,Retailer 1,65046f98fc13ae02b6fd5607,220
Phone,Distributor 2,8.48,6,air,Route 21,Retailer 3,65046f98fc13ae02b6fd5608,190
Laptop,Distributor 3,4.35,6,air,Route 21,Retailer 5,65046f98fc13ae02b6fd5609,500
Tablet,Distributor 1,7.87,3,road,Route 22,Retailer 5,65046f98fc13ae02b6fd560a,200
Phone,Distributor 1,5.88,3,air,Route 26,Retailer 4,65046f98fc13ae02b6fd560b,200
Laptop,Distributor 2,8.35,6,air,Route 21,Retailer 6,65046f98fc13ae02b6fd560c,440
Tablet,Distributor 4,8.2,2,sea,Route 26,Retailer 5,65046f98fc13ae02b6fd560d,220
Phone,Distributor 3,5.3,4,air,Route 21,Retailer 5,65046f98fc13ae02b6fd560e,300
Laptop,Distributor 2,7.93,1,air,Route 21,Retailer 4,65046f98fc13ae02b6fd560f,440
Tablet,Distributor 4,4.16,6,rail,Route 22,Retailer 2,65046f98fc13ae02b6fd5610,220
Phone,Distributor 3,5.22,1,sea,Route 26,Retailer 1,65046f98fc13ae02b6fd5611,300
Laptop,Distributor 1,9.08,4,road,Route 24,Retailer 3,65046f98fc13ae02b6fd5612,540
Tablet,Distributor 4,8.96,1,air,Route 21,Retailer 1,65046f98fc13ae02b6fd5613,220
Phone,Distributor 3,3.91,2,sea,Route 26,Retailer 5,65046f98fc13ae02b6fd5614,300
Laptop,Distributor 1,4.88,1,road,Route 24,Retailer 5,65046f98fc13ae02b6fd5615,540
Tablet,Distributor 2,9.54,2,air,Route 26,Retailer 4,65046f98fc13ae02b6fd5616,170
Phone,Distributor 3,6.98,6,sea,Route 26,Retailer 6,65046f98fc13ae02b6fd5617,300
Laptop,Distributor 2,5.01,1,rail,Route 21,Retailer 6,65046f98fc13ae02b6fd5618,440
Tablet,Distributor 1,9.69,1,road,Route 21,Retailer 1,65046f98fc13ae02b6fd5619,200
Phone,Distributor 4,9.7,2,rail,Route 21,Retailer 6,65046f98fc13ae02b6fd561a,250
Laptop,Distributor 3,8.05,5,rail,Route 22,Retailer 2,65046f98fc13ae02b6fd561b,500
Tablet,Distributor 4,5.67,4,air,Route 26,Retailer 6,65046f98fc13ae02b6fd561c,220
Phone,Distributor 1,6.46,6,sea,Route 26,Retailer 2,65046f98fc13ae02b6fd561d,200
Laptop,Distributor 4,3.52,4,rail,Route 21,Retailer 5,65046f98fc13ae02b6fd561e,480
Tablet,Distributor 3,3.05,6,air,Route 26,Retailer 3,65046f98fc13ae02b6fd561f,350
Phone,Distributor 1,8.92,4,sea,Route 26,Retailer 6,65046f98fc13ae02b6fd5620,200
Laptop,Distributor 3,9.51,5,rail,Route 22,Retailer 2,65046f98fc13ae02b6fd5621,500
Tablet,Distributor 2,5.62,3,sea,Route 26,Retailer 4,65046f98fc13ae02b6fd5622,170
Phone,Distributor 2,7.59,1,air,Route 21,Retailer 2,65046f98fc13ae02b6fd5623,190
Laptop,Distributor 4,4.82,1,air,Route 21,Retailer 5,65046f98fc13ae02b6fd5624,480
Tablet,Distributor 4,7.17,4,air,Route 21,Retailer 4,65046f98fc13ae02b6fd5625,220
Phone,Distributor 2,6.26,4,road,Route 22,Retailer 2,65046f98fc13ae02b6fd5626,190
Laptop,Distributor 4,6.71,3,rail,Route 22,Retailer 5,65046f98fc13ae02b6fd5627,480
Tablet,Distributor 4,7.76,2,sea,Route 26,Retailer 4,65046f98fc13ae02b6fd5628,220
Phone,Distributor 4,3.18,1,sea,Route 26,Retailer 2,65046f98fc13ae02b6fd5629,250
Laptop,Distributor 3,3.1,5,rail,Route 22,Retailer 5,65046f98fc13ae02b6fd562a,500
Tablet,Distributor 1,5.38,5,air,Route 26,Retailer 2,65046f98fc13ae02b6fd562b,200
Phone,Distributor 2,7.84,1,sea,Route 26,Retailer 3,65046f98fc13ae02b6fd562c,190
Laptop,Distributor 4,7.36,6,sea,Route 26,Retailer 2,65046f98fc13ae02b6fd562d,480
Tablet,Distributor 1,6.6,6,sea,Route 26,Retailer 5,65046f98fc13ae02b6fd562e,200
Phone,Distributor 1,9.51,3,air,Route 21,Retailer 2,65046f98fc13ae02b6fd562f,200
Laptop,Distributor 3,7.52,2,rail,Route 22,Retailer 4,65046f98fc13ae02b6fd5630,500
Tablet,Distributor 4,5.21,5,air,Route 21,Retailer 4,65046f98fc13ae02b6fd5631,220
Phone,Distributor 4,8.98,6,rail,Route 21,Retailer 1,65046f98fc13ae02b6fd5632,250
Laptop,Distributor 1,9.63,2,rail,Route 22,Retailer 2,65046f98fc13ae02b6fd5633,540
Tablet,Distributor 2,4.71,2,rail,Route 21,Retailer 2,65046f98fc13ae02b6fd5634,170
Phone,Distributor 3,8.58,6,sea,Route 26,Retailer 5,65046f98fc13ae02b6fd5635,300
Laptop,Distributor 1,5.67,4,sea,Route 26,Retailer 5,65046f98fc13ae02b6fd5636,540
Tablet,Distributor 3,4.38,3,rail,Route 21,Retailer 2,65046f98fc13ae02b6fd5637,350
Phone,Distributor 1,9.2,2,rail,Route 21,Retailer 1,65046f98fc13ae02b6fd5638,200
Laptop,Distributor 1,8.6,2,rail,Route 22,Retailer 4,65046f98fc13ae02b6fd5639,540
Tablet,Distributor 4,6.1,5,rail,Route 22,Retailer 4,65046f98fc13ae02b6fd563a,220
Phone,Distributor 1,5.87,5,road,Route 24,Retailer 5,65046f98fc13ae02b6fd563b,200
Laptop,Distributor 2,4.73,6,sea,Route 26,Retailer 4,65046f98fc13ae02b6fd563c,440
Tablet,Distributor 4,8.05,6,road,Route 24,Retailer 5,65046f98fc13ae02b6fd563d,220
Phone,Distributor 3,3.54,4,sea,Route 26,Retailer 6,65046f98fc13ae02b6fd563e,300
Laptop,Distributor 3,9.05,1,air,Route 21,Retailer 3,65046f98fc13ae02b6fd563f,500
Tablet,Distributor 4,7.48,5,rail,Route 22,Retailer 4,65046f98fc13ae02b6fd5640,220
Phone,Distributor 4,7.31,3,rail,Route 22,Retailer 2,65046f98fc13ae02b6fd5641,250
Laptop,Distributor 3,8.66,4,air,Route 26,Retailer 2,65046f98fc13ae02b6fd5642,500
Tablet,Distributor 2,4.62,2,air,Route 26,Retailer 4,65046f98fc13ae02b6fd5643,170
Phone,Distributor 2,9.5,6,rail,Route 22,Retailer 5,65046f98fc13ae02b6fd5644,190
Laptop,Distributor 2,6.38,3,road,Route 21,Retailer 4,65046f98fc13ae02b6fd5645,440
Tablet,Distributor 2,3.02,3,rail,Route 22,Retailer 1,65046f98fc13ae02b6fd5646,170
Phone,Distributor 1,5.74,6,sea,Route 26,Retailer 1,65046f98fc13ae02b6fd5647,200
Laptop,Distributor 4,9.78,2,rail,Route 21,Retailer 5,65046f98fc13ae02b6fd5648,480
Tablet,Distributor 3,9.16,4,sea,Route 26,Retailer 5,65046f98fc13ae02b6fd5649,350
Phone,Distributor 4,3.03,5,air,Route 26,Retailer 3,65046f98fc13ae02b6fd564a,250
Laptop,Distributor 4,6.51,2,road,Route 22,Retailer 5,65046f98fc13ae02b6fd564b,480
Tablet,Distributor 4,5.69,4,rail,Route 22,Retailer 5,65046f98fc13ae02b6fd564c,220
Phone,Distributor 4,9.07,3,air,Route 26,Retailer 5,65046f98fc13ae02b6fd564d,250
Laptop,Distributor 4,6.58,3,air,Route 21,Retailer 5,65046f98fc13ae02b6fd564e,480
Tablet,Distributor 4,6.22,3,rail,Route 21,Retailer 4,65046f98fc13ae02b6fd564f,220
Phone,Distributor 2,3.39,6,air,Route 26,Retailer 3,65046f98fc13ae02b6fd5650,190
Laptop,Distributor 3,8.87,4,road,Route 22,Retailer 4,65046f98fc13ae02b6fd5651,500
Tablet,Distributor 3,6.18,5,road,Route 21,Retailer 4,65046f98fc13ae02b6fd5652,350
Phone,Distributor 4,8.18,4,air,Route 26,Retailer 2,65046f98fc13ae02b6fd5653,250
Laptop,Distributor 4,5.84,3,rail,Route 21,Retailer 5,65046f98fc13ae02b6fd5654,480
Tablet,Distributor 3,6.18,3,sea,Route 26,Retailer 3,65046f98fc13ae02b6fd5655,350
Phone,Distributor 4,9.03,2,rail,Route 22,Retailer 4,65046f98fc13ae02b6fd5656,250
Laptop,Distributor 1,3.71,3,rail,Route 21,Retailer 3,65046f98fc13ae02b6fd5657,540
Tablet,Distributor 1,5.33,5,road,Route 23,Retailer 2,65046f98fc13ae02b6fd5658,200
Phone,Distributor 3,8.69,3,sea,Route 26,Retailer 4,65046f98fc13ae02b6fd5659,300
Laptop,Distributor 1,6.11,3,rail,Route 22,Retailer 3,65046f98fc13ae02b6fd565a,540
Tablet,Distributor 1,6.86,2,road,Route 24,Retailer 2,65046f98fc13ae02b6fd565b,200
Phone,Distributor 2,9.0,2,air,Route 26,Retailer 5,65046f98fc13ae02b6fd565c,190
Laptop,Distributor 4,9.29,3,air,Route 26,Retailer 3,65046f98fc13ae02b6fd565d,480
Tablet,Distributor 2,7.44,4,sea,Route 26,Retailer 1,65046f98fc13ae02b6fd565e,170
Phone,Distributor 2,3.92,5,sea,Route 26,Retailer 6,65046f98fc13ae02b6fd565f,190
Laptop,Distributor 4,6.85,2,road,Route 21,Retailer 3,65046f98fc13ae02b6fd5660,480
Tablet,Distributor 3,3.01,4,road,Route 24,Retailer 5,65046f98fc13ae02b6fd5661,350
Phone,Distributor 4,9.49,6,rail,Route 21,Retailer 5,65046f98fc13ae02b6fd5662,250
Laptop,Distributor 2,4.82,3,rail,Route 21,Retailer 4,65046f98fc13ae02b6fd5663,440
Tablet,Distributor 4,9.75,2,rail,Route 21,Retailer 2,65046f98fc13ae02b6fd5664,220
Phone,Distributor 2,9.76,6,rail,Route 22,Retailer 4,65046f98fc13ae02b6fd5665,190
Laptop,Distributor 4,6.22,3,air,Route 21,Retailer 5,65046f98fc13ae02b6fd5666,480
Tablet,Distributor 1,4.69,3,air,Route 21,Retailer 3,65046f98fc13ae02b6fd5667,200
Phone,Distributor 4,5.57,6,air,Route 26,Retailer 4,65046f98fc13ae02b6fd5668,250
Laptop,Distributor 1,6.12,6,sea,Route 26,Retailer 5,65046f98fc13ae02b6fd5669,540
Tablet,Distributor 1,9.27,1,rail,Route 21,Retailer 6,65046f98fc13ae02b6fd566a,200
Phone,Distributor 4,7.3,1,road,Route 22,Retailer 4,65046f98fc13ae02b6fd566b,250
Laptop,Distributor 3,4.55,2,sea,Route 26,Retailer 3,65046f98fc13ae02b6fd566c,500
Tablet,Distributor 4,5.47,4,rail,Route 21,Retailer 1,65046f98fc13ae02b6fd566d,220
Phone,Distributor 4,4.95,2,rail,Route 22,Retailer 2,65046f98fc13ae02b6fd566e,250
Laptop,Distributor 3,5.62,1,road,Route 24,Retailer 1,65046f98fc13ae02b6fd566f,500
Tablet,Distributor 2,4.72,1,road,Route 21,Retailer 6,65046f98fc13ae02b6fd5670,170
Phone,Distributor 2,9.08,3,rail,Route 22,Retailer 2,65046f98fc13ae02b6fd5671,190
Laptop,Distributor 1,8.02,6,road,Route 22,Retailer 2,65046f98fc13ae02b6fd5672,540
Tablet,Distributor 2,3.8,4,rail,Route 21,Retailer 4,65046f98fc13ae02b6fd5673,170
Phone,Distributor 3,9.47,6,road,Route 22,Retailer 6,65046f98fc13ae02b6fd5674,300
Laptop,Distributor 3,6.88,6,sea,Route 26,Retailer 5,65046f98fc13ae02b6fd5675,500
Tablet,Distributor 1,3.86,4,air,Route 26,Retailer 6,65046f98fc13ae02b6fd5676,200
Phone,Distributor 1,7.59,2,sea,Route 26,Retailer 3,65046f98fc13ae02b6fd5677,200
Laptop,Distributor 2,6.39,4,sea,Route 26,Retailer 6,65046f98fc13ae02b6fd5678,440
Tablet,Distributor 4,4.98,5,road,Route 21,Retailer 6,65046f98fc13ae02b6fd5679,220
Phone,Distributor 2,4.98,1,sea,Route 26,Retailer 1,65046f98fc13ae02b6fd567a,190
Laptop,Distributor 1,6.21,6,rail,Route 22,Retailer 5,65046f98fc13ae02b6fd567b,540
Tablet,Distributor 2,6.46,1,rail,Route 22,Retailer 6,65046f98fc13ae02b6fd567c,170
Phone,Distributor 1,7.5,4,rail,Route 22,Retailer 6,65046f98fc13ae02b6fd567d,200
Laptop,Distributor 1,5.12,3,sea,Route 26,Retailer 4,65046f98fc13ae02b6fd567e,540
Tablet,Distributor 4,6.58,2,rail,Route 21,Retailer 3,65046f98fc13ae02b6fd567f,220
Phone,Distributor 1,3.55,3,sea,Route 26,Retailer 3,65046f98fc13ae02b6fd5680,200
Laptop,Distributor 2,8.02,4,road,Route 23,Retailer 4,65046f98fc13ae02b6fd5681,440
Tablet,Distributor 1,7.96,3,road,Route 22,Retailer 6,65046f98fc13ae02b6fd5682,200
Phone,Distributor 3,6.87,6,air,Route 26,Retailer 2,65046f98fc13ae02b6fd5683,300
Laptop,Distributor 4,9.78,1,sea,Route 26,Retailer 6,65046f98fc13ae02b6fd5684,480
Tablet,Distributor 2,3.64,4,sea,Route 26,Retailer 4,65046f98fc13ae02b6fd5685,170
Phone,Distributor 2,3.88,5,sea,Route 26,Retailer 6,65046f98fc13ae02b6fd5686,190
Laptop,Distributor 3,4.81,5,sea,Route 26,Retailer 5,65046f98fc13ae02b6fd5687,500
Tablet,Distributor 4,8.61,2,road,Route 23,Retailer 3,65046f98fc13ae02b6fd5688,220
Phone,Distributor 1,5.82,5,sea,Route 26,Retailer 4,65046f98fc13ae02b6fd5689,200
Laptop,Distributor 1,7.61,5,air,Route 26,Retailer 3,65046f98fc13ae02b6fd568a,540
Tablet,Distributor 3,6.85,2,road,Route 23,Retailer 1,65046f98fc13ae02b6fd568b,350
Phone,Distributor 1,9.49,6,road,Route 23,Retailer 4,65046f98fc13ae02b6fd568c,200
Laptop,Distributor 2,9.27,6,sea,Route 26,Retailer 2,65046f98fc13ae02b6fd568d,440
Tablet,Distributor 3,8.59,6,rail,Route 22,Retailer 6,65046f98fc13ae02b6fd568e,350
Phone,Distributor 3,3.38,4,rail,Route 22,Retailer 3,65046f98fc13ae02b6fd568f,300
Laptop,Distributor 2,7.95,3,sea,Route 26,Retailer 5,65046f98fc13ae02b6fd5690,440
Tablet,Distributor 4,6.27,4,rail,Route 21,Retailer 3,65046f98fc13ae02b6fd5691,220
Phone,Distributor 2,4.82,2,rail,Route 22,Retailer 2,65046f98fc13ae02b6fd5692,190
Laptop,Distributor 4,4.48,1,air,Route 26,Retailer 5,65046f98fc13ae02b6fd5693,480
Tablet,Distributor 4,4.96,5,air,Route 26,Retailer 4,65046f98fc13ae02b6fd5694,220
Phone,Distributor 3,7.97,6,road,Route 22,Retailer 4,65046f98fc13ae02b6fd5695,300
Laptop,Distributor 1,9.74,4,rail,Route 22,Retailer 1,65046f98fc13ae02b6fd5696,540
Tablet,Distributor 1,7.61,1,air,Route 21,Retailer 1,65046f98fc13ae02b6fd5697,200
Phone,Distributor 3,3.86,6,road,Route 24,Retailer 1,65046f98fc13ae02b6fd5698,300
Laptop,Distributor 1,9.47,6,air,Route 26,Retailer 2,65046f98fc13ae02b6fd5699,540
Tablet,Distributor 3,8.9,6,rail,Route 21,Retailer 1,65046f98fc13ae02b6fd569a,350
Phone,Distributor 3,7.82,5,road,Route 23,Retailer 3,65046f98fc13ae02b6fd569b,300
Laptop,Distributor 3,8.51,4,sea,Route 26,Retailer 4,65046f98fc13ae02b6fd569c,500
Tablet,Distributor 1,3.38,4,air,Route 21,Retailer 2,65046f98fc13ae02b6fd569d,200
Phone,Distributor 4,3.53,5,rail,Route 22,Retailer 5,65046f98fc13ae02b6fd569e,250
Laptop,Distributor 2,4.1,6,rail,Route 22,Retailer 4,65046f98fc13ae02b6fd569f,440
Tablet,Distributor 4,9.32,5,sea,Route 26,Retailer 5,65046f98fc13ae02b6fd56a0,220
Phone,Distributor 1,6.63,2,air,Route 21,Retailer 2,65046f98fc13ae02b6fd56a1,200
Laptop,Distributor 1,9.75,5,air,Route 26,Retailer 6,65046f98fc13ae02b6fd56a2,540
Tablet,Distributor 3,4.12,6,air,Route 26,Retailer 5,65046f98fc13ae02b6fd56a3,350
Phone,Distributor 4,5.07,3,air,Route 21,Retailer 3,65046f98fc13ae02b6fd56a4,250
Laptop,Distributor 1,6.04,3,sea,Route 26,Retailer 6,65046f98fc13ae02b6fd56a5,540
Tablet,Distributor 2,4.6,5,rail,Route 21,Retailer 3,65046f98fc13ae02b6fd56a6,170
Phone,Distributor 4,9.51,3,air,Route 26,Retailer 6,65046f98fc13ae02b6fd56a7,250
Laptop,Distributor 3,4.5,5,road,Route 21,Retailer 1,65046f98fc13ae02b6fd56a8,500
Tablet,Distributor 2,6.68,4,rail,Route 22,Retailer 4,65046f98fc13ae02b6fd56a9,170
Phone,Distributor 1,8.14,4,sea,Route 26,Retailer 3,65046f98fc13ae02b6fd56aa,200
Laptop,Distributor 4,4.76,3,sea,Route 26,Retailer 6,65046f98fc13ae02b6fd56ab,480
Tablet,Distributor 1,7.68,4,air,Route 21,Retailer 4,65046f98fc13ae02b6fd56ac,200
Phone,Distributor 2,9.82,5,rail,Route 21,Retailer 1,65046f98fc13ae02b6fd56ad,190
Laptop,Distributor 2,3.7,5,sea,Route 26,Retailer 6,65046f98fc13ae02b6fd56ae,440
Tablet,Distributor 4,3.12,2,road,Route 22,Retailer 1,65046f98fc13ae02b6fd56af,220
Phone,Distributor 3,3.27,1,sea,Route 26,Retailer 6,65046f98fc13ae02b6fd56b0,300
Laptop,Distributor 2,3.5,5,rail,Route 22,Retailer 3,65046f98fc13ae02b6fd56b1,440
Tablet,Distributor 2,6.69,5,road,Route 22,Retailer 2,65046f98fc13ae02b6fd56b2,170
Phone,Distributor 3,5.36,2,road,Route 24,Retailer 2,65046f98fc13ae02b6fd56b3,300
Laptop,Distributor 3,3.6,5,road,Route 23,Retailer 5,65046f98fc13ae02b6fd56b4,500
Tablet,Distributor 1,4.44,5,air,Route 26,Retailer 1,65046f98fc13ae02b6fd56b5,200
Phone,Distributor 3,5.96,4,sea,Route 26,Retailer 3,65046f98fc13ae02b6fd56b6,300
Laptop,Distributor 3,3.75,4,sea,Route 26,Retailer 3,65046f98fc13ae02b6fd56b7,500
Tablet,Distributor 3,4.74,3,rail,Route 21,Retailer 2,65046f98fc13ae02b6fd56b8,350
Phone,Distributor 4,9.22,3,air,Route 26,Retailer 6,65046f98fc13ae02b6fd56b9,250
Laptop,Distributor 2,9.77,4,road,Route 23,Retailer 1,65046f98fc13ae02b6fd56ba,440
Tablet,Distributor 3,7.14,3,air,Route 26,Retailer 3,65046f98fc13ae02b6fd56bb,350
Phone,Distributor 2,3.28,5,road,Route 21,Retailer 1,65046f98fc13ae02b6fd56bc,190
Laptop,Distributor 1,5.69,5,road,Route 21,Retailer 2,65046f98fc13ae02b6fd56bd,540
Tablet,Distributor 1,6.46,2,sea,Route 26,Retailer 4,65046f98fc13ae02b6fd56be,200
Phone,Distributor 4,8.87,3,rail,Route 21,Retailer 5,65046f98fc13ae02b6fd56bf,250
Laptop,Distributor 3,3.95,2,rail,Route 22,Retailer 5,65046f98fc13ae02b6fd56c0,500
Tablet,Distributor 2,6.5,2,road,Route 23,Retailer 6,65046f98fc13ae02b6fd56c1,170
Phone,Distributor 2,5.34,6,air,Route 26,Retailer 5,65046f98fc13ae02b6fd56c2,190
Laptop,Distributor 3,4.5,2,air,Route 21,Retailer 3,65046f98fc13ae02b6fd56c3,500
Tablet,Distributor 2,4.55,2,sea,Route 26,Retailer 1,65046f98fc13ae02b6fd56c4,170
Phone,Distributor 3,5.98,1,rail,Route 21,Retailer 2,65046f98fc13ae02b6fd56c5,300
Laptop,Distributor 1,6.02,2,air,Route 26,Retailer 6,65046f98fc13ae02b6fd56c6,540
Tablet,Distributor 1,4.19,1,rail,Route 22,Retailer 6,65046f98fc13ae02b6fd56c7,200
Phone,Distributor 4,4.99,1,rail,Route 22,Retailer 4,65046f98fc13ae02b6fd56c8,250
Laptop,Distributor 1,9.8,3,sea,Route 26,Retailer 3,65046f98fc13ae02b6fd56c9,540
Tablet,Distributor 2,3.96,5,sea,Route 26,Retailer 5,65046f98fc13ae02b6fd56ca,170
Phone,Distributor 3,6.38,6,road,Route 21,Retailer 1,65046f98fc13ae02b6fd56cb,300
Laptop,Distributor 4,7.6,2,rail,Route 22,Retailer 3,65046f98fc13ae02b6fd56cc,480
Tablet,Distributor 3,3.48,6,rail,Route 21,Retailer 1,65046f98fc13ae02b6fd56cd,350
Phone,Distributor 1,8.74,5,rail,Route 22,Retailer 1,65046f98fc13ae02b6fd56ce,200
Laptop,Distributor 3,4.03,2,air,Route 21,Retailer 3,65046f98fc13ae02b6fd56cf,500
Tablet,Distributor 2,7.5,4,road,Route 23,Retailer 1,65046f98fc13ae02b6fd56d0,170
Phone,Distributor 4,6.19,6,rail,Route 21,Retailer 3,65046f98fc13ae02b6fd56d1,250
Laptop,Distributor 1,6.15,3,rail,Route 22,Retailer 4,65046f98fc13ae02b6fd56d2,540
Tablet,Distributor 3,8.02,5,rail,Route 21,Retailer 4,65046f98fc13ae02b6fd56d3,350
Phone,Distributor 4,5.27,1,sea,Route 26,Retailer 6,65046f98fc13ae02b6fd56d4,250
