Product Type,Retailer name,Retailer product sold,Retailer shipping cost,Retailer shipping time,Retailer transport mode,Retailer routes ,Product ID,Retailer cost
Laptop,Retailer 4,yes,0.31,2,UPS,Route 32,65046f98fc13ae02b6fd551c,1400
Tablet,Retailer 4,yes,1.31,4,FedX,Route 36,65046f98fc13ae02b6fd551d,1000
Phone,Retailer 2,yes,2.39,1,UPS,Route 32,65046f98fc13ae02b6fd551e,620
Laptop,Retailer 5,yes,1.8,1,FedX,Route 35,65046f98fc13ae02b6fd551f,1000
Tablet,Retailer 3,yes,0.07,5,FedX,Route 34,65046f98fc13ae02b6fd5520,700
Phone,Retailer 1,yes,0.93,1,UPS,Route 33,65046f98fc13ae02b6fd5521,600
Laptop,Retailer 6,yes,2.19,2,FedX,Route 31,65046f98fc13ae02b6fd5522,1100
Tablet,Retailer 2,yes,0.17,1,UPS,Route 31,65046f98fc13ae02b6fd5523,800
Phone,Retailer 3,yes,1.95,2,FedX,Route 36,65046f98fc13ae02b6fd5524,650
Laptop,Retailer 2,yes,2.53,1,FedX,Route 32,65046f98fc13ae02b6fd5525,1000
Tablet,Retailer 5,yes,1.04,3,FedX,Route 34,65046f98fc13ae02b6fd5526,650
Phone,Retailer 6,yes,1.6,5,FedX,Route 32,65046f98fc13ae02b6fd5527,590
Laptop,Retailer 5,yes,1.3,4,FedX,Route 34,65046f98fc13ae02b6fd5528,1000
Tablet,Retailer 5,yes,1.44,4,FedX,Route 32,65046f98fc13ae02b6fd5529,650
Phone,Retailer 6,yes,2.11,5,FedX,Route 36,65046f98fc13ae02b6fd552a,590
Laptop,Retailer 3,yes,2.01,4,UPS,Route 32,65046f98fc13ae02b6fd552b,1200
Tablet,Retailer 5,yes,2.36,3,UPS,Route 33,65046f98fc13ae02b6fd552c,650
Phone,Retailer 6,yes,2.14,3,FedX,Route 36,65046f98fc13ae02b6fd552d,590
Laptop,Retailer 1,yes,1.68,5,UPS,Route 31,65046f98fc13ae02b6fd552e,1070
Tablet,Retailer 1,yes,1.28,1,UPS,Route 35,65046f98fc13ae02b6fd552f,800
Phone,Retailer 1,yes,1.17,1,FedX,Route 33,65046f98fc13ae02b6fd5530,600
Laptop,Retailer 6,yes,2.35,5,UPS,Route 33,65046f98fc13ae02b6fd5531,1100
Tablet,Retailer 3,yes,0.04,5,FedX,Route 36,65046f98fc13ae02b6fd5532,700
Phone,Retailer 3,yes,1.91,1,UPS,Route 33,65046f98fc13ae02b6fd5533,650
Laptop,Retailer 6,yes,2.75,3,FedX,Route 34,65046f98fc13ae02b6fd5534,1100
Tablet,Retailer 1,yes,1.01,2,UPS,Route 31,65046f98fc13ae02b6fd5535,800
Phone,Retailer 2,yes,2.04,2,UPS,Route 34,65046f98fc13ae02b6fd5536,620
Laptop,Retailer 4,yes,2.7,4,FedX,Route 33,65046f98fc13ae02b6fd5537,1400
Tablet,Retailer 1,yes,1.24,4,UPS,Route 35,65046f98fc13ae02b6fd5538,800
Phone,Retailer 4,yes,1.72,4,UPS,Route 31,65046f98fc13ae02b6fd5539,700
Laptop,Retailer 4,yes,2.14,3,UPS,Route 35,65046f98fc13ae02b6fd553a,1400
Tablet,Retailer 2,yes,2.86,1,UPS,Route 35,65046f98fc13ae02b6fd553b,800
Phone,Retailer 3,yes,2.83,3,UPS,Route 35,65046f98fc13ae02b6fd553c,650
Laptop,Retailer 3,yes,1.54,3,FedX,Route 31,65046f98fc13ae02b6fd553d,1200
Tablet,Retailer 1,yes,0.29,2,FedX,Route 34,65046f98fc13ae02b6fd553e,800
Phone,Retailer 5,yes,0.51,3,UPS,Route 34,65046f98fc13ae02b6fd553f,600
Laptop,Retailer 6,yes,0.89,2,UPS,Route 35,65046f98fc13ae02b6fd5540,1100
Tablet,Retailer 6,yes,0.15,1,UPS,Route 35,65046f98fc13ae02b6fd5541,820
Phone,Retailer 6,yes,1.95,5,UPS,Route 35,65046f98fc13ae02b6fd5542,590
Laptop,Retailer 5,yes,2.77,5,FedX,Route 33,65046f98fc13ae02b6fd5543,1000
Tablet,Retailer 5,yes,2.1,5,UPS,Route 31,65046f98fc13ae02b6fd5544,650
Phone,Retailer 3,yes,2.71,2,UPS,Route 34,65046f98fc13ae02b6fd5545,650
Laptop,Retailer 3,yes,0.99,2,FedX,Route 32,65046f98fc13ae02b6fd5546,1200
Tablet,Retailer 1,yes,2.83,5,FedX,Route 36,65046f98fc13ae02b6fd5547,800
Phone,Retailer 6,yes,1.56,3,FedX,Route 33,65046f98fc13ae02b6fd5548,590
Laptop,Retailer 5,yes,1.74,3,FedX,Route 36,65046f98fc13ae02b6fd5549,1000
Tablet,Retailer 6,yes,0.2,4,FedX,Route 31,65046f98fc13ae02b6fd554a,820
Phone,Retailer 6,yes,1.37,4,FedX,Route 32,65046f98fc13ae02b6fd554b,590
Laptop,Retailer 3,yes,0.19,3,FedX,Route 36,65046f98fc13ae02b6fd554c,1200
Tablet,Retailer 1,yes,2.21,1,UPS,Route 31,65046f98fc13ae02b6fd554d,800
Phone,Retailer 2,yes,1.5,3,FedX,Route 33,65046f98fc13ae02b6fd554e,620
Laptop,Retailer 1,yes,0.29,1,UPS,Route 35,65046f98fc13ae02b6fd554f,1070
Tablet,Retailer 2,yes,2.55,1,UPS,Route 32,65046f98fc13ae02b6fd5550,800
Phone,Retailer 3,yes,2.2,3,FedX,Route 31,65046f98fc13ae02b6fd5551,650
Laptop,Retailer 1,yes,2.49,5,UPS,Route 33,65046f98fc13ae02b6fd5552,1070
Tablet,Retailer 6,yes,0.66,1,FedX,Route 36,65046f98fc13ae02b6fd5553,820
Phone,Retailer 5,yes,0.43,1,UPS,Route 32,65046f98fc13ae02b6fd5554,600
Laptop,Retailer 6,yes,0.5,4,FedX,Route 34,65046f98fc13ae02b6fd5555,1100
Tablet,Retailer 1,yes,1.74,2,UPS,Route 36,65046f98fc13ae02b6fd5556,800
Phone,Retailer 5,yes,2.53,1,UPS,Route 33,65046f98fc13ae02b6fd5557,600
Laptop,Retailer 1,yes,2.89,5,FedX,Route 33,65046f98fc13ae02b6fd5558,1070
Tablet,Retailer 5,yes,0.74,2,FedX,Route 35,65046f98fc13ae02b6fd5559,650
Phone,Retailer 1,yes,1.8,3,UPS,Route 36,65046f98fc13ae02b6fd555a,600
Laptop,Retailer 4,yes,2.36,4,FedX,Route 32,65046f98fc13ae02b6fd555b,1400
Tablet,Retailer 4,yes,1.81,3,FedX,Route 35,65046f98fc13ae02b6fd555c,1000
Phone,Retailer 1,yes,2.71,2,UPS,Route 34,65046f98fc13ae02b6fd555d,600
Laptop,Retailer 4,yes,0.34,4,UPS,Route 35,65046f98fc13ae02b6fd555e,1400
Tablet,Retailer 2,yes,1.44,3,UPS,Route 31,65046f98fc13ae02b6fd555f,800
Phone,Retailer 5,yes,1.58,2,UPS,Route 31,65046f98fc13ae02b6fd5560,600
Laptop,Retailer 3,yes,2.04,2,FedX,Route 34,65046f98fc13ae02b6fd5561,1200
Tablet,Retailer 2,yes,1.13,5,UPS,Route 32,65046f98fc13ae02b6fd5562,800
Phone,Retailer 1,yes,1.33,2,UPS,Route 36,65046f98fc13ae02b6fd5563,600
Laptop,Retailer 4,yes,2.69,2,FedX,Route 34,65046f98fc13ae02b6fd5564,1400
Tablet,Retailer 6,no,0.59,3,FedX,Route 35,65046f98fc13ae02b6fd5565,820
Phone,Retailer 3,yes,0.4,1,UPS,Route 31,65046f98fc13ae02b6fd5566,650
Laptop,Retailer 4,yes,0.24,2,UPS,Route 33,65046f98fc13ae02b6fd5567,1400
Tablet,Retailer 5,yes,0.53,5,FedX,Route 33,65046f98fc13ae02b6fd5568,650
Phone,Retailer 1,yes,0.59,4,UPS,Route 36,65046f98fc13ae02b6fd5569,600
Laptop,Retailer 6,yes,1.12,3,UPS,Route 34,65046f98fc13ae02b6fd556a,1100
Tablet,Retailer 4,yes,1.42,1,FedX,Route 32,65046f98fc13ae02b6fd556b,1000
Phone,Retailer 6,yes,1.81,5,UPS,Route 35,65046f98fc13ae02b6fd556c,590
Laptop,Retailer 1,yes,0.1,1,FedX,Route 35,65046f98fc13ae02b6fd556d,1070
Tablet,Retailer 1,yes,1.67,5,FedX,Route 35,65046f98fc13ae02b6fd556e,800
Phone,Retailer 4,no,2.2,3,UPS,Route 33,65046f98fc13ae02b6fd556f,700
Laptop,Retailer 6,yes,0.2,3,UPS,Route 31,65046f98fc13ae02b6fd5570,1100
Tablet,Retailer 3,no,1.2,5,FedX,Route 35,65046f98fc13ae02b6fd5571,700
Phone,Retailer 3,yes,1.77,5,FedX,Route 34,65046f98fc13ae02b6fd5572,650
Laptop,Retailer 3,yes,1.18,3,FedX,Route 33,65046f98fc13ae02b6fd5573,1200
Tablet,Retailer 1,yes,0.64,5,FedX,Route 32,65046f98fc13ae02b6fd5574,800
Phone,Retailer 4,yes,1.75,1,UPS,Route 31,65046f98fc13ae02b6fd5575,700
Laptop,Retailer 2,yes,0.23,5,UPS,Route 36,65046f98fc13ae02b6fd5576,1000
Tablet,Retailer 5,yes,2.83,2,FedX,Route 33,65046f98fc13ae02b6fd5577,650
Phone,Retailer 2,yes,0.16,2,UPS,Route 35,65046f98fc13ae02b6fd5578,620
Laptop,Retailer 1,yes,1.74,4,UPS,Route 34,65046f98fc13ae02b6fd5579,1070
Tablet,Retailer 1,yes,0.22,2,FedX,Route 35,65046f98fc13ae02b6fd557a,800
Phone,Retailer 4,yes,2.86,3,UPS,Route 36,65046f98fc13ae02b6fd557b,700
Laptop,Retailer 5,yes,0.07,4,FedX,Route 32,65046f98fc13ae02b6fd557c,1000
Tablet,Retailer 3,yes,0.34,1,FedX,Route 33,65046f98fc13ae02b6fd557d,700
Phone,Retailer 5,yes,0.44,4,UPS,Route 36,65046f98fc13ae02b6fd557e,600
Laptop,Retailer 5,yes,1.91,4,FedX,Route 34,65046f98fc13ae02b6fd557f,1000
Tablet,Retailer 5,yes,1.83,3,FedX,Route 36,65046f98fc13ae02b6fd5580,650
Phone,Retailer 4,yes,1.2,4,FedX,Route 35,65046f98fc13ae02b6fd5581,700
Laptop,Retailer 6,yes,1.46,4,UPS,Route 31,65046f98fc13ae02b6fd5582,1100
Tablet,Retailer 5,yes,2.68,3,FedX,Route 32,65046f98fc13ae02b6fd5583,650
Phone,Retailer 1,yes,0.38,1,FedX,Route 31,65046f98fc13ae02b6fd5584,600
Laptop,Retailer 4,yes,1.35,1,UPS,Route 32,65046f98fc13ae02b6fd5585,1400
Tablet,Retailer 3,yes,0.29,3,UPS,Route 35,65046f98fc13ae02b6fd5586,700
Phone,Retailer 3,yes,0.3,5,FedX,Route 35,65046f98fc13ae02b6fd5587,650
Laptop,Retailer 6,yes,0.09,5,FedX,Route 34,65046f98fc13ae02b6fd5588,1100
Tablet,Retailer 6,yes,0.01,3,UPS,Route 31,65046f98fc13ae02b6fd5589,820
Phone,Retailer 4,yes,2.03,3,UPS,Route 33,65046f98fc13ae02b6fd558a,700
Laptop,Retailer 3,yes,1.71,3,FedX,Route 35,65046f98fc13ae02b6fd558b,1200
Tablet,Retailer 4,yes,0.7,1,UPS,Route 31,65046f98fc13ae02b6fd558c,1000
Phone,Retailer 3,yes,1.74,5,UPS,Route 34,65046f98fc13ae02b6fd558d,650
Laptop,Retailer 4,yes,0.04,2,UPS,Route 34,65046f98fc13ae02b6fd558e,1400
Tablet,Retailer 5,yes,2.42,3,UPS,Route 36,65046f98fc13ae02b6fd558f,650
Phone,Retailer 3,yes,1.39,1,UPS,Route 32,65046f98fc13ae02b6fd5590,650
Laptop,Retailer 4,yes,0.68,1,FedX,Route 32,65046f98fc13ae02b6fd5591,1400
Tablet,Retailer 1,yes,1.18,1,UPS,Route 35,65046f98fc13ae02b6fd5592,800
Phone,Retailer 3,yes,0.37,3,FedX,Route 34,65046f98fc13ae02b6fd5593,650
Laptop,Retailer 3,yes,0.25,1,UPS,Route 35,65046f98fc13ae02b6fd5594,1200
Tablet,Retailer 2,yes,2.85,5,UPS,Route 32,65046f98fc13ae02b6fd5595,800
Phone,Retailer 4,yes,0.58,3,UPS,Route 31,65046f98fc13ae02b6fd5596,700
Laptop,Retailer 5,yes,1.49,3,FedX,Route 36,65046f98fc13ae02b6fd5597,1000
Tablet,Retailer 6,yes,0.51,1,FedX,Route 33,65046f98fc13ae02b6fd5598,820
Phone,Retailer 3,yes,0.56,2,FedX,Route 31,65046f98fc13ae02b6fd5599,650
Laptop,Retailer 5,yes,0.29,1,FedX,Route 34,65046f98fc13ae02b6fd559a,1000
Tablet,Retailer 6,yes,0.47,2,UPS,Route 31,65046f98fc13ae02b6fd559b,820
Phone,Retailer 1,yes,1.77,4,FedX,Route 33,65046f98fc13ae02b6fd559c,600
Laptop,Retailer 2,yes,1.8,5,FedX,Route 34,65046f98fc13ae02b6fd559d,1000
Tablet,Retailer 3,yes,2.41,3,FedX,Route 33,65046f98fc13ae02b6fd559e,700
Phone,Retailer 3,yes,2.44,1,FedX,Route 36,65046f98fc13ae02b6fd559f,650
Laptop,Retailer 1,yes,1.88,4,UPS,Route 34,65046f98fc13ae02b6fd55a0,1070
Tablet,Retailer 3,yes,1.85,4,FedX,Route 34,65046f98fc13ae02b6fd55a1,700
Phone,Retailer 5,yes,0.55,3,UPS,Route 35,65046f98fc13ae02b6fd55a2,600
Laptop,Retailer 2,yes,0.26,2,UPS,Route 36,65046f98fc13ae02b6fd55a3,1000
Tablet,Retailer 6,yes,2.61,2,FedX,Route 32,65046f98fc13ae02b6fd55a4,820
Phone,Retailer 2,yes,2.55,1,UPS,Route 31,65046f98fc13ae02b6fd55a5,620
Laptop,Retailer 4,yes,0.25,3,FedX,Route 36,65046f98fc13ae02b6fd55a6,1400
Tablet,Retailer 2,yes,1.99,5,UPS,Route 36,65046f98fc13ae02b6fd55a7,800
Phone,Retailer 1,yes,2.64,1,FedX,Route 33,65046f98fc13ae02b6fd55a8,600
Laptop,Retailer 4,yes,2.21,3,FedX,Route 31,65046f98fc13ae02b6fd55a9,1400
Tablet,Retailer 2,yes,0.46,3,UPS,Route 35,65046f98fc13ae02b6fd55aa,800
Phone,Retailer 6,yes,2.38,4,UPS,Route 32,65046f98fc13ae02b6fd55ab,590
Laptop,Retailer 4,yes,0.9,1,FedX,Route 35,65046f98fc13ae02b6fd55ac,1400
Tablet,Retailer 3,yes,1.54,1,FedX,Route 33,65046f98fc13ae02b6fd55ad,700
Phone,Retailer 4,yes,1.01,3,UPS,Route 32,65046f98fc13ae02b6fd55ae,700
Laptop,Retailer 3,yes,0.5,4,FedX,Route 35,65046f98fc13ae02b6fd55af,1200
Tablet,Retailer 4,no,0.83,2,UPS,Route 35,65046f98fc13ae02b6fd55b0,1000
Phone,Retailer 2,yes,0.55,2,UPS,Route 32,65046f98fc13ae02b6fd55b1,620
Laptop,Retailer 1,yes,1.45,1,FedX,Route 32,65046f98fc13ae02b6fd55b2,1070
Tablet,Retailer 2,yes,1.46,3,UPS,Route 31,65046f98fc13ae02b6fd55b3,800
Phone,Retailer 3,yes,1.13,5,UPS,Route 36,65046f98fc13ae02b6fd55b4,650
Laptop,Retailer 5,yes,1.87,3,FedX,Route 31,65046f98fc13ae02b6fd55b5,1000
Tablet,Retailer 2,yes,1.74,1,UPS,Route 31,65046f98fc13ae02b6fd55b6,800
Phone,Retailer 3,yes,0.39,3,UPS,Route 31,65046f98fc13ae02b6fd55b7,650
Laptop,Retailer 2,yes,0.81,3,UPS,Route 35,65046f98fc13ae02b6fd55b8,1000
Tablet,Retailer 1,yes,1.16,2,UPS,Route 33,65046f98fc13ae02b6fd55b9,800
Phone,Retailer 4,yes,0.22,2,FedX,Route 36,65046f98fc13ae02b6fd55ba,700
Laptop,Retailer 2,no,2.54,2,UPS,Route 35,65046f98fc13ae02b6fd55bb,1000
Tablet,Retailer 1,yes,1.19,4,UPS,Route 33,65046f98fc13ae02b6fd55bc,800
Phone,Retailer 5,yes,2.25,1,UPS,Route 32,65046f98fc13ae02b6fd55bd,600
Laptop,Retailer 3,yes,0.61,3,FedX,Route 34,65046f98fc13ae02b6fd55be,1200
Tablet,Retailer 5,yes,2.51,4,UPS,Route 32,65046f98fc13ae02b6fd55bf,650
Phone,Retailer 6,yes,1.14,5,FedX,Route 36,65046f98fc13ae02b6fd55c0,590
Laptop,Retailer 2,yes,0.79,4,FedX,Route 33,65046f98fc13ae02b6fd55c1,1000
Tablet,Retailer 2,yes,2.57,3,FedX,Route 31,65046f98fc13ae02b6fd55c2,800
Phone,Retailer 1,yes,1.3,3,UPS,Route 33,65046f98fc13ae02b6fd55c3,600
Laptop,Retailer 5,yes,0.83,3,UPS,Route 33,65046f98fc13ae02b6fd55c4,1000
Tablet,Retailer 4,yes,1.92,3,UPS,Route 36,65046f98fc13ae02b6fd55c5,1000
Phone,Retailer 4,yes,0.58,1,UPS,Route 36,65046f98fc13ae02b6fd55c6,700
Laptop,Retailer 3,yes,2.85,4,FedX,Route 36,65046f98fc13ae02b6fd55c7,1200
Tablet,Retailer 2,yes,2.09,1,UPS,Route 35,65046f98fc13ae02b6fd55c8,800
Phone,Retailer 4,yes,0.27,2,FedX,Route 33,65046f98fc13ae02b6fd55c9,700
Laptop,Retailer 3,yes,0.48,4,UPS,Route 31,65046f98fc13ae02b6fd55ca,1200
Tablet,Retailer 6,yes,0.25,1,FedX,Route 36,65046f98fc13ae02b6fd55cb,820
Phone,Retailer 6,yes,2.03,3,FedX,Route 32,65046f98fc13ae02b6fd55cc,590
Laptop,Retailer 3,yes,0.85,4,FedX,Route 36,65046f98fc13ae02b6fd55cd,1200
Tablet,Retailer 4,yes,1.68,1,FedX,Route 35,65046f98fc13ae02b6fd55ce,1000
Phone,Retailer 2,yes,0.7,5,UPS,Route 34,65046f98fc13ae02b6fd55cf,620
Laptop,Retailer 6,yes,2.02,5,FedX,Route 32,65046f98fc13ae02b6fd55d0,1100
Tablet,Retailer 1,yes,1.09,3,FedX,Route 32,65046f98fc13ae02b6fd55d1,800
Phone,Retailer 6,yes,0.19,1,FedX,Route 32,65046f98fc13ae02b6fd55d2,590
Laptop,Retailer 3,yes,1.11,1,UPS,Route 36,65046f98fc13ae02b6fd55d3,1200
Tablet,Retailer 3,yes,2.22,4,UPS,Route 33,65046f98fc13ae02b6fd55d4,700
Phone,Retailer 4,yes,2.64,4,UPS,Route 36,65046f98fc13ae02b6fd55d5,700
Laptop,Retailer 5,yes,2.45,4,UPS,Route 32,65046f98fc13ae02b6fd55d6,1000
Tablet,Retailer 1,yes,2.54,5,FedX,Route 32,65046f98fc13ae02b6fd55d7,800
Phone,Retailer 1,yes,0.61,3,UPS,Route 36,65046f98fc13ae02b6fd55d8,600
Laptop,Retailer 4,yes,0.01,3,FedX,Route 34,65046f98fc13ae02b6fd55d9,1400
Tablet,Retailer 4,yes,2.02,1,UPS,Route 34,65046f98fc13ae02b6fd55da,1000
Phone,Retailer 5,yes,1.69,1,FedX,Route 36,65046f98fc13ae02b6fd55db,600
Laptop,Retailer 4,yes,0.76,4,UPS,Route 33,65046f98fc13ae02b6fd55dc,1400
Tablet,Retailer 3,yes,1.75,1,FedX,Route 35,65046f98fc13ae02b6fd55dd,700
Phone,Retailer 6,yes,1.43,5,FedX,Route 34,65046f98fc13ae02b6fd55de,590
Laptop,Retailer 2,yes,0.55,3,FedX,Route 33,65046f98fc13ae02b6fd55df,1000
Tablet,Retailer 6,yes,0.85,4,FedX,Route 31,65046f98fc13ae02b6fd55e0,820
Phone,Retailer 5,yes,1.06,1,UPS,Route 31,65046f98fc13ae02b6fd55e1,600
Laptop,Retailer 6,yes,1.59,4,UPS,Route 34,65046f98fc13ae02b6fd55e2,1100
Tablet,Retailer 2,yes,1.46,5,FedX,Route 35,65046f98fc13ae02b6fd55e3,800
Phone,Retailer 6,yes,2.05,3,UPS,Route 32,65046f98fc13ae02b6fd55e4,590
Laptop,Retailer 5,yes,1.66,3,UPS,Route 34,65046f98fc13ae02b6fd55e5,1000
Tablet,Retailer 4,yes,2.09,2,UPS,Route 34,65046f98fc13ae02b6fd55e6,1000
Phone,Retailer 5,yes,2.13,5,UPS,Route 33,65046f98fc13ae02b6fd55e7,600
Laptop,Retailer 2,yes,1.5,1,UPS,Route 35,65046f98fc13ae02b6fd55e8,1000
Tablet,Retailer 2,yes,1.07,1,FedX,Route 36,65046f98fc13ae02b6fd55e9,800
Phone,Retailer 3,yes,1.04,4,FedX,Route 33,65046f98fc13ae02b6fd55ea,650
Laptop,Retailer 5,yes,1.16,1,UPS,Route 35,65046f98fc13ae02b6fd55eb,1000
Tablet,Retailer 4,no,1.13,3,UPS,Route 35,65046f98fc13ae02b6fd55ec,1000
Phone,Retailer 2,yes,2.06,4,FedX,Route 31,65046f98fc13ae02b6fd55ed,620
Laptop,Retailer 5,yes,1.67,5,FedX,Route 36,65046f98fc13ae02b6fd55ee,1000
Tablet,Retailer 2,yes,0.2,4,FedX,Route 35,65046f98fc13ae02b6fd55ef,800
Phone,Retailer 6,yes,1.63,1,FedX,Route 33,65046f98fc13ae02b6fd55f0,590
Laptop,Retailer 4,yes,0.16,2,FedX,Route 35,65046f98fc13ae02b6fd55f1,1400
Tablet,Retailer 3,yes,1.01,4,UPS,Route 31,65046f98fc13ae02b6fd55f2,700
Phone,Retailer 4,yes,1.99,5,FedX,Route 32,65046f98fc13ae02b6fd55f3,700
Laptop,Retailer 1,yes,0.49,2,FedX,Route 35,65046f98fc13ae02b6fd55f4,1070
Tablet,Retailer 4,yes,0.8,2,FedX,Route 34,65046f98fc13ae02b6fd55f5,1000
Phone,Retailer 3,yes,0.58,4,UPS,Route 35,65046f98fc13ae02b6fd55f6,650
Laptop,Retailer 1,yes,2.19,3,FedX,Route 35,65046f98fc13ae02b6fd55f7,1070
Tablet,Retailer 4,yes,0.25,1,FedX,Route 32,65046f98fc13ae02b6fd55f8,1000
Phone,Retailer 5,yes,1.52,3,UPS,Route 32,65046f98fc13ae02b6fd55f9,600
Laptop,Retailer 3,yes,2.46,2,UPS,Route 32,65046f98fc13ae02b6fd55fa,1200
Tablet,Retailer 5,yes,1.65,1,UPS,Route 34,65046f98fc13ae02b6fd55fb,650
Phone,Retailer 6,yes,0.91,2,UPS,Route 33,65046f98fc13ae02b6fd55fc,590
Laptop,Retailer 3,yes,2.22,1,UPS,Route 34,65046f98fc13ae02b6fd55fd,1200
Tablet,Retailer 5,yes,0.94,3,UPS,Route 36,65046f98fc13ae02b6fd55fe,650
Phone,Retailer 6,yes,1.35,4,FedX,Route 31,65046f98fc13ae02b6fd55ff,590
Laptop,Retailer 6,yes,2.69,1,FedX,Route 36,65046f98fc13ae02b6fd5600,1100
Tablet,Retailer 4,yes,1.07,5,UPS,Route 36,65046f98fc13ae02b6fd5601,1000
Phone,Retailer 3,yes,0.8,1,FedX,Route 36,65046f98fc13ae02b6fd5602,650
Laptop,Retailer 6,yes,2.98,3,UPS,Route 35,65046f98fc13ae02b6fd5603,1100
Tablet,Retailer 1,yes,0.54,4,UPS,Route 33,65046f98fc13ae02b6fd5604,800
Phone,Retailer 1,yes,1.44,1,FedX,Route 33,65046f98fc13ae02b6fd5605,600
Laptop,Retailer 2,yes,0.05,3,UPS,Route 32,65046f98fc13ae02b6fd5606,1000
Tablet,Retailer 4,yes,0.48,5,FedX,Route 36,65046f98fc13ae02b6fd5607,1000
Phone,Retailer 3,no,1.19,5,UPS,Route 32,65046f98fc13ae02b6fd5608,650
Laptop,Retailer 5,yes,1.46,2,UPS,Route 33,65046f98fc13ae02b6fd5609,1000
Tablet,Retailer 6,yes,0.37,5,FedX,Route 36,65046f98fc13ae02b6fd560a,820
Phone,Retailer 5,yes,2.37,3,FedX,Route 32,65046f98fc13ae02b6fd560b,600
Laptop,Retailer 3,yes,1.36,2,FedX,Route 33,65046f98fc13ae02b6fd560c,1200
Tablet,Retailer 6,yes,1.77,5,FedX,Route 36,65046f98fc13ae02b6fd560d,820
Phone,Retailer 2,yes,0.08,4,FedX,Route 33,65046f98fc13ae02b6fd560e,620
Laptop,Retailer 1,yes,1.6,3,UPS,Route 33,65046f98fc13ae02b6fd560f,1070
Tablet,Retailer 6,yes,0.28,1,UPS,Route 35,65046f98fc13ae02b6fd5610,820
Phone,Retailer 5,yes,1.01,2,FedX,Route 32,65046f98fc13ae02b6fd5611,600
Laptop,Retailer 6,yes,0.36,3,FedX,Route 35,65046f98fc13ae02b6fd5612,1100
Tablet,Retailer 6,yes,2.05,5,FedX,Route 33,65046f98fc13ae02b6fd5613,820
Phone,Retailer 4,yes,2.83,1,FedX,Route 33,65046f98fc13ae02b6fd5614,700
Laptop,Retailer 6,no,0.17,4,UPS,Route 35,65046f98fc13ae02b6fd5615,1100
Tablet,Retailer 1,yes,1.44,2,UPS,Route 36,65046f98fc13ae02b6fd5616,800
Phone,Retailer 2,yes,2.48,5,FedX,Route 34,65046f98fc13ae02b6fd5617,620
Laptop,Retailer 6,yes,1.56,1,UPS,Route 34,65046f98fc13ae02b6fd5618,1100
Tablet,Retailer 2,yes,1.59,1,UPS,Route 31,65046f98fc13ae02b6fd5619,800
Phone,Retailer 6,yes,2.83,5,UPS,Route 32,65046f98fc13ae02b6fd561a,590
Laptop,Retailer 4,yes,2.97,1,UPS,Route 33,65046f98fc13ae02b6fd561b,1400
Tablet,Retailer 2,yes,1.22,3,UPS,Route 34,65046f98fc13ae02b6fd561c,800
Phone,Retailer 2,yes,0.61,2,FedX,Route 36,65046f98fc13ae02b6fd561d,620
Laptop,Retailer 4,yes,0.49,1,FedX,Route 32,65046f98fc13ae02b6fd561e,1400
Tablet,Retailer 3,yes,2.76,1,FedX,Route 34,65046f98fc13ae02b6fd561f,700
Phone,Retailer 1,no,1.44,2,FedX,Route 34,65046f98fc13ae02b6fd5620,600
Laptop,Retailer 4,yes,0.28,5,FedX,Route 35,65046f98fc13ae02b6fd5621,1400
Tablet,Retailer 1,yes,1.38,4,FedX,Route 32,65046f98fc13ae02b6fd5622,800
Phone,Retailer 5,yes,0.43,2,UPS,Route 32,65046f98fc13ae02b6fd5623,600
Laptop,Retailer 4,yes,0.89,3,UPS,Route 36,65046f98fc13ae02b6fd5624,1400
Tablet,Retailer 5,yes,1.95,3,UPS,Route 33,65046f98fc13ae02b6fd5625,650
Phone,Retailer 2,yes,0.42,3,UPS,Route 36,65046f98fc13ae02b6fd5626,620
Laptop,Retailer 5,yes,0.95,4,UPS,Route 32,65046f98fc13ae02b6fd5627,1000
Tablet,Retailer 2,yes,1.96,3,UPS,Route 36,65046f98fc13ae02b6fd5628,800
Phone,Retailer 2,yes,0.16,1,FedX,Route 31,65046f98fc13ae02b6fd5629,620
Laptop,Retailer 5,yes,0.01,3,FedX,Route 32,65046f98fc13ae02b6fd562a,1000
Tablet,Retailer 6,yes,0.37,2,FedX,Route 33,65046f98fc13ae02b6fd562b,820
Phone,Retailer 2,yes,1.27,5,UPS,Route 32,65046f98fc13ae02b6fd562c,620
Laptop,Retailer 3,yes,0.49,1,FedX,Route 35,65046f98fc13ae02b6fd562d,1200
Tablet,Retailer 1,yes,1.26,1,FedX,Route 35,65046f98fc13ae02b6fd562e,800
Phone,Retailer 5,yes,0.06,3,UPS,Route 31,65046f98fc13ae02b6fd562f,600
Laptop,Retailer 1,yes,1.05,4,FedX,Route 35,65046f98fc13ae02b6fd5630,1070
Tablet,Retailer 6,yes,0.6,1,FedX,Route 35,65046f98fc13ae02b6fd5631,820
Phone,Retailer 2,yes,0.22,3,FedX,Route 33,65046f98fc13ae02b6fd5632,620
Laptop,Retailer 6,yes,2.72,2,UPS,Route 32,65046f98fc13ae02b6fd5633,1100
Tablet,Retailer 1,yes,0.86,5,FedX,Route 34,65046f98fc13ae02b6fd5634,800
Phone,Retailer 2,yes,2.0,3,UPS,Route 33,65046f98fc13ae02b6fd5635,620
